Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
DE003010,aldi_nord_de,ALDI Nord,,Hamburg,Hamburg,,DE,+49 800 7234870,,Mo-Sa 07:00-21:00,ALDI Nord,Q41171373
179234,edeka_de,EDEKA Timmer,,Hamburg,Hamburg,,DE,+49 40 255853,https://www.edeka.de/eh/nord/edeka-timmer-conventstr.-8-10/index.jsp,Mo-Sa 07:00-22:00,EDEKA,Q701755
127687,edeka_de,E center Gillert,,Hamburg,Hamburg,,DE,+49 40 2099212,https://www.edeka.de/eh/nord/e-center-gillert-wandsbeker-chaussee-248/index.jsp,Mo-Sa 07:00-23:00,E-Center,Q701755
7299,netto_de,Netto City,,Hamburg,Hamburg,,DE,,https://www.netto-online.de/filialen/hamburg/wandsbeker-chaussee-220/7299,Mo-Sa 07:00-22:00,Netto City,Q879858
6b4afb1b-0ad3-3c37-981f-716f29f7269f,penny_de,Penny Eilbek,,Hamburg,Hamburg,,DE,,https://www.penny.de/markt/hamburg/530135/penny-eilbek-wandsbeker-chaussee-162,Mo-Sa 07:00-22:00,Penny,Q284688
,visa,,,HAMBURG,HAMBURG,,DE,,,,,
,visa,,,HAMBURG,HAMBURG,,DE,,,,,
66a3ba46c4028ea0970fc025f6da1d44,western_union,EXLINKS GROUP,,Hamburg,HAMBURG,,DE,+49 40 20973012,https://location.westernunion.com/de/hamburg/hamburg/66a3ba46c4028ea0970fc025f6da1d44,Mo-Fr 11:00-19:00; Sa 11:00-16:00,Western Union,Q861042
3b670f4917fa12879e98e8b111743893,western_union,LT GROUP,,Hamburg,HAMBURG,,DE,+49 40 25332391,https://location.westernunion.com/de/hamburg/hamburg/3b670f4917fa12879e98e8b111743893,Mo-Su 08:30-21:30,Western Union,Q861042
55ef3c460f60563b130fb48338f1e6c1,western_union,SERVICEPOINT 25,,Hamburg,HAMBURG,,DE,+49 178 5582298,https://location.westernunion.com/de/hamburg/hamburg/55ef3c460f60563b130fb48338f1e6c1,Mo-Fr 09:00-21:00; Sa 09:00-18:00,Western Union,Q861042
