Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
10002714,edeka_de,Markt-Bäckerei Dreieich-Sprendlingen,,Dreieich-Sprendlingen,Hessen,,DE,+49 180 3 671049,,Mo-Sa 07:00-20:00,Markt-Bäckerei,Q1719433
73660,edeka_de,EDEKA Richter,,Dreieich-Sprendlingen,Hessen,,DE,+49 6103 604801,https://www.edeka.de/eh/südwest/e-city-markt-richter-eisenbahnstraße-204-206/index.jsp,Mo-Sa 08:00-20:00,EDEKA,Q701755
GS0014769,mercedes_benz,Heinrich Göbel GmbH,,Dreieich,Hessen,,DE,+49 6103 98650,https://www.mercedes-benz-goebel.de,,Mercedes-Benz,Q36008
8097,netto_de,Netto Marken-Discount,,Dreieich,Hessen,,DE,,https://www.netto-online.de/filialen/dreieich/industriestr-5/8097,Mo-Sa 07:00-20:00,Netto Marken-Discount,Q879858
https://www.obi.de/markt/dreieich,obi_eu,Obi Markt Dreieich,,Dreieich,Hessen,,DE,+49 6103 93310,https://www.obi.de/markt/dreieich,Mo-Sa 07:00-20:00,OBI,Q300518
18f5c303-2891-36d4-88ee-e55f0cd7f76f,penny_de,Penny Sprendlingen City,,Dreieich,Hessen,,DE,,https://www.penny.de/markt/dreieich/230009/penny-sprendlingen-city-frankfurter-strasse-4-6,Mo-Sa 07:30-20:00,Penny,Q284688
10026312,shell,"DREIEICH, OFFENBACHER STR. 69",,DREIEICH,Hessen,,DE,+49 6103 322583,https://find.shell.com/de/fuel/10026312-dreieich-offenbacher-str-69,,Shell,Q110716465
,visa,,,DREIEICH-OFFENTHAL,HESSEN,,DE,,,,,
,visa,,,DREIEICH-DREIEICHENHAIN,HESSEN,,DE,,,,,
,visa,,,DREIEICH - BUCHSCHLAG,HESSEN,,DE,,,,,
,visa,,,DREIECH-SPRENDLINGEN,HESSEN,,DE,,,,,
,visa,,,DREIECH-SPRENDLINGEN,HESSEN,,DE,,,,,
,visa,,,DREIEICH-SPRENDLINGEN,HESSEN,,DE,,,,,
,visa,,,DREIEICH-SPRENDLINGEN,HESSEN,,DE,,,,,
,visa,,,DREIEICH-SPRENDLINGEN,HESSEN,,DE,,,,,
,visa,,,DREIEICH,HESSEN,,DE,,,,,
edb8869b1f3f4d067257c22d617e59e0,western_union,INTERNETCAFE CALLSHOP INTERNATIONAL,,Dreieich,HESSEN,,DE,+49 1577 2165542,https://location.westernunion.com/de/hessen/dreieich/edb8869b1f3f4d067257c22d617e59e0,Mo-Su 10:00-22:00,Western Union,Q861042
