Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
DE005070,aldi_nord_de,ALDI Nord,,Schloß Holte-Stukenbrock,Nordrhein-Westfalen,,DE,+49 800 7234870,,Mo-Sa 07:00-21:00,ALDI Nord,Q41171373
8002753,edeka_de,Elli-Markt Holte,,Schloß Holte-Stukenbrock,Nordrhein-Westfalen,,DE,+49 5207 927962,https://www.elli-markt.de/,Mo-Sa 07:00-21:00,Elli,Q701755
4260021,edeka_de,Marktkauf Schloß Holte-Stukenbrock,,Schloß Holte-Stukenbrock,Nordrhein-Westfalen,,DE,+49 5207 95330,http://marktkauf-shs.de/,Mo-Sa 07:00-21:00,MARKTKAUF,Q1533254
GS0000016,mercedes_benz,Autohaus Thorwesten GmbH,,Schloß Holte-Stukenbrock,Nordrhein-Westfalen,,DE,+49 5207 91090,https://www.mercedes-benz-thorwesten.de,,Mercedes-Benz,Q36008
GS00112083,mercedes_benz,Beresa OWL GmbH & Co. KG,,Schloß Holte-Stukenbrock,Nordrhein-Westfalen,,DE,,https://www.mercedes-benz-beresa.de,,Mercedes-Benz,Q36008
2320,netto_de,Netto Marken-Discount,,Schloß-Holte-Stukenbrock,Nordrhein-Westfalen,,DE,,https://www.netto-online.de/filialen/schloß-holte-stukenbrock/beckersheide-4/2320,Mo-Sa 07:00-21:00,Netto Marken-Discount,Q879858
6252,netto_de,Netto Marken-Discount,,Schloß Holte-Stukenbrock,Nordrhein-Westfalen,,DE,,https://www.netto-online.de/filialen/schloß-holte-stukenbrock/holterstr-240/6252,Mo-Sa 07:00-21:00,Netto Marken-Discount,Q879858
a138bc2d-bc99-3e24-9559-5e8a404523a3,penny_de,Penny Am Bahnhof,,Schloss Holte-Stukenbrock,Nordrhein-Westfalen,,DE,,https://www.penny.de/markt/schloss-holte-stukenbrock/1930738/penny-am-bahnhof-sender-str-8,Mo-Sa 07:00-22:00,Penny,Q284688
10024847,shell,SCHLOSS HOLTE-STUKENBROCK.,,SCHLOß HOLTE-STUKENBROCK,Nordrhein-Westfalen,,DE,+49 5207 2284,https://find.shell.com/de/fuel/10024847-schloss-holte-stukenbrock,,Shell,Q110716465
4011,tedi,TEDi GmbH & Co. KG,,Schloß Holte-Stukenbrock,NORDRHEIN-WESTFALEN,,DE,+49 231 555770,https://www.tedi.com/stores/4011/de/NORDRHEIN-WESTFALEN/Schloss-Holte-Stukenbrock/Luechtenstr-59,Mo-Sa 00:00-24:00,TEDi,Q1364603
,visa,,,SCHLOSS HOLTE-STUKENBROCK,NORDRHEIN-WESTFALEN,,DE,,,,,
,visa,,,SCHLOSS HOLTE-STUKENBROCK,NORDRHEIN-WESTFALEN,,DE,,,,,
,visa,,,SCHLOSS HOLTE-STUKENBROCK,NORDRHEIN-WESTFALEN,,DE,,,,,
,visa,,,SCHLOSS HOLTE-STUKENBROCK,NORDRHEIN-WESTFALEN,,DE,,,,,
