Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
55185488,deichmann,DEICHMANN Filiale Ludwigshafen Im Zollhof 4,,Ludwigshafen,Rheinland-Pfalz,,DE,+49 621 52007633,https://stores.deichmann.com/de-de/de/rheinland-pfalz/ludwigshafen/im-zollhof-4,Mo-Sa 10:00-20:00,Deichmann,Q664543
246210,edeka_de,EDEKA Scholz,,Ludwigshafen,Rheinland-Pfalz,,DE,+49 621 67191870,https://www.edeka.de/eh/südwest/edeka-scholz-saarlandstraße-131/index.jsp,Mo-Sa 08:00-22:00,EDEKA,Q701755
8000909,edeka_de,EDEKA Manambelona,,Ludwigshafen,Rheinland-Pfalz,,DE,+49 621 587590,https://www.edeka.de/eh/südwest/edeka-manambelona-mundenheimer-straße-167/index.jsp,Mo-Sa 07:30-20:00,EDEKA,Q701755
DE0003,hm,Rhein-Galerie Ludwigshafen,,Ludwigshafen,Rheinland-Pfalz,,DE,+49 800 6655900,,Mo-Sa 10:00-20:00,H&M,Q188326
D343,jacques_wein_depot_de,Ludwigshafen,,Ludwigshafen,Rheinland-Pfalz,,DE,+49 621 63390720,https://www.jacques.de/weindepot/D343/Ludwigshafen,Mo-Th 15:00-19:00; Fr 12:00-19:00; Sa 10:00-16:00,Jacques’ Wein-Depot,Q1678150
3524,netto_de,Netto Marken-Discount,,Ludwigshafen,Rheinland-Pfalz,,DE,,https://www.netto-online.de/filialen/ludwigshafen/knollstr-14/3524,Mo-Sa 07:00-21:00,Netto Marken-Discount,Q879858
112,nordsee,NORDSEE Ludwigshafen Rhein-Galerie,,Ludwigshafen am Rhein,Rheinland-Pfalz,,DE,+49 621 54543916,https://www.nordsee.com/en/restaurants/detail/store/NORDSEE%20Ludwigshafen%20Rhein-Galerie-112,Mo-Sa 10:00-20:00,Nordsee,Q74866
3bd03ea7-e70c-302b-872e-e2f87bbf94a2,penny_de,Penny Schützenstraße,,Ludwigshafen,Rheinland-Pfalz,,DE,,https://www.penny.de/markt/ludwigshafen/830182/penny-schuetzenstrasse-schuetzenstr-31-33,Mo-Sa 07:30-22:00,Penny,Q284688
5246,tedi,TEDi GmbH & Co. KG,,Ludwigshafen,RHEINLAND-PFALZ,,DE,+49 231 555770,https://www.tedi.com/stores/5246/de/RHEINLAND-PFALZ/Ludwigshafen/Sued/Knollstrasse-14,Mo-Sa 00:00-24:00,TEDi,Q1364603
,visa,,,LUDWIGSHAFEN / MUNDENHEIM,RHEINLAND-PFALZ,,DE,,,,,
,visa,,,LUDWIGSHAFEN,RHEINLAND-PFALZ,,DE,,,,,
,visa,,,LUDWIGSHAFEN / WALZMUEHLE,RHEINLAND-PFALZ,,DE,,,,,
538da8e6eee234a87c0486bd5ac9564f,western_union,WATAN LEBENSMITTEL,,Ludwigshafen Sud,RHEINLAND PFALZ,,DE,+49 176 61472707,https://location.westernunion.com/de/rheinland-pfalz/ludwigshafen-sud/538da8e6eee234a87c0486bd5ac9564f,Mo-Sa 09:00-21:00,Western Union,Q861042
