Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
DE036025,aldi_nord_de,ALDI Nord,,Dresden,Sachsen,,DE,+49 800 7234870,,Mo-Sa 07:00-21:00,ALDI Nord,Q41171373
DE036047,aldi_nord_de,ALDI Nord,,Dresden,Sachsen,,DE,+49 800 7234870,,Mo-Sa 07:00-21:00,ALDI Nord,Q41171373
10007192,edeka_de,EDEKA Dresden,,Dresden,Sachsen,,DE,+49 351 40291840,https://www.edeka.de/eh/nordbayern-sachsen-thüringen/edeka-dresden-kesselsdorfer-straße-2/index.jsp,Mo-Sa 07:00-20:00,EDEKA,Q701755
D083,jacques_wein_depot_de,Dresden Löbtau,,Dresden,Sachsen,,DE,+49 351 4221252,https://www.jacques.de/weindepot/D083/Dresden-Lobtau,Mo-We 15:00-19:00; Th 15:00-20:00; Fr 13:00-20:00; Sa 09:00-15:00,Jacques’ Wein-Depot,Q1678150
4757,netto_de,Netto Marken-Discount,,Dresden-Löbtau,Sachsen,,DE,,https://www.netto-online.de/filialen/dresden-löbtau/tharandter-str-41a/4757,Mo-Sa 07:00-21:00,Netto Marken-Discount,Q879858
4788,netto_de,Netto Marken-Discount,,Dresden-Löbtau,Sachsen,,DE,,https://www.netto-online.de/filialen/dresden-löbtau/lübecker-str-20/4788,Mo-Sa 07:00-21:00,Netto Marken-Discount,Q879858
8684,netto_de,Netto Marken-Discount,,Dresden,Sachsen,,DE,,https://www.netto-online.de/filialen/dresden/tharandter-str-65/8684,Mo-Sa 07:00-22:00,Netto Marken-Discount,Q879858
8704,netto_de,Netto Marken-Discount,,Dresden,Sachsen,,DE,,https://www.netto-online.de/filialen/dresden/kesselsdorfer-str-114/8704,Mo-Sa 07:00-21:00,Netto Marken-Discount,Q879858
b1838e67-4df9-30f8-a4ae-c68b034723c4,penny_de,Penny Ecke Cottaer Straße,,Dresden,Sachsen,,DE,,https://www.penny.de/markt/dresden/531053/penny-ecke-cottaer-strasse-cottaer-str-18,Mo-Sa 07:00-21:00,Penny,Q284688
10027437,shell,"DRESDEN, LOEBTAUER STR",,DRESDEN,Sachsen,,DE,+49 351 4940310,https://find.shell.com/de/fuel/10027437-dresden-loebtauer-str,,Shell,Q110716465
5857,tedi,TEDi GmbH & Co. KG,,Dresden,SACHSEN,,DE,+49 231 555770,https://www.tedi.com/stores/5857/de/SACHSEN/Dresden/Cotta/Kesseldorfer-Strasse-24,Mo-Sa 00:00-24:00,TEDi,Q1364603
,visa,,,DRESDEN,SACHSEN,,DE,,,,,
