Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
DE031054,aldi_nord_de,ALDI Nord,,Erfurt,Thüringen,,DE,+49 800 7234870,,Mo-Fr 07:00-21:00; Sa 07:00-20:00,ALDI Nord,Q41171373
55186889,deichmann,DEICHMANN Filiale Erfurt Bahnhofstrasse 4,,Erfurt,Thüringen,,DE,+49 361 5660539,https://stores.deichmann.com/de-de/de/thueringen/erfurt/bahnhofstrasse-4,Mo-Sa 10:00-19:00,Deichmann,Q664543
10003377,edeka_de,Nils Halecker,,Erfurt,Thüringen,,DE,+49 361 600790,,Mo-Fr 07:30-20:00; Sa 07:30-18:00,EDEKA,Q701755
https://www.fielmann.de/niederlassungen/erfurt/99084-anger-54/,fielmann_de,"Fielmann - Ihr Optiker in Erfurt Zentrum, Anger 54",,Erfurt,Thüringen,,DE,+49 361 5668850,https://www.fielmann.de/niederlassungen/erfurt/99084-anger-54/,Mo-Sa 09:00-19:00,Fielmann,Q457822
DE0747,hm,Anger 62 Erfurt,,Erfurt,Thüringen,,DE,+49 800 6655900,,Mo-Sa 10:00-20:00,H&M,Q188326
533,hypovereinsbank_de,HypoVereinsbank Erfurt,,Erfurt,Thüringen,,DE,+49 89 37848000,https://www.hypovereinsbank.de/hvb/kontaktwege/filiale#!/l/erfurt/schlösserstraße-17/533,"Mo 10:00-13:00; Tu 10:00-13:00,14:30-17:00; We 10:00-13:00; Th 10:00-13:00,14:30-17:00",HypoVereinsbank,Q220189
001380,karstadt_de,GALERIA Erfurt,,Erfurt,Thüringen,,DE,+49 361 67680,,Mo-Sa 10:00-20:00,Karstadt,Q182910
https://www.kieser.de/studios/erfurt/,kieser_training_de,Kieser Erfurt,,Erfurt,Thüringen,,DE,,https://www.kieser.de/studios/erfurt/,Mo-Fr 07:00-21:00; Sa-Su 09:00-16:00,Kieser Training,Q1112367
0031,santander_de,Santander,,Erfurt,Thüringen,,DE,+49 361 220400,,"Mo-Tu 09:00-13:00,14:00-18:00; We 09:00-13:00,14:00-16:00; Th 09:00-13:00,14:00-18:00; Fr 09:00-14:00",Santander,Q875292
5127,tedi,TEDi GmbH & Co. KG,,Erfurt,THÜRINGEN,,DE,+49 231 555770,https://www.tedi.com/stores/5127/de/THÜRINGEN/Erfurt/Altstadt/Willy-Brandt-Platz-11,Mo-Sa 00:00-24:00,TEDi,Q1364603
