Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
48.51301210.953061,dpd_de,Geschenke Lintner,,Aindling,,,DE,,,Mo-Sa 09:00-12:00,DPD,Q541030
2760916119,gls_de,Schuhhaus Nißl,,Aindling,,,DE,+49 8237 393,,"Mo-Fr 09:00-12:30,14:00-18:00",General Logistics Systems,Q46495823
https://www.rossmann.de/de/filialen/bayern/aindling/raiffeisenstr--1.html,rossmann_de,Rossmann Drogerie-Markt Raiffeisenstr. 1,,Aindling,,,DE,+49 8237 8193999,https://www.rossmann.de/de/filialen/bayern/aindling/raiffeisenstr--1.html,Mo-Sa 08:00-19:00,Rossmann,Q316004
30223,sparkasse_de,Sparkasse Aichach-Schrobenhausen Geldautomat Aindling,,Aindling,,,DE,+49 8251 940,https://www.sparkasse.de/standorte/geldautomaten/sparkasse-aichach-schrobenhausen-geldautomat-aindling-30223,24/7,Sparkasse,Q13601825
11286,sparkasse_de,Sparkasse Aichach-Schrobenhausen Filiale Aindling,,Aindling,,,DE,+49 8251 940,https://www.sparkasse.de/standorte/filialen/sparkasse-aichach-schrobenhausen-filiale-aindling-11286,"Mo 09:00-12:00,14:00-16:00; Tu-We 09:00-12:00; Th 09:00-12:00,14:00-18:00; Fr 09:00-12:00",Sparkasse,Q13601825
https://www.vlh.de/bst/8194/Oeffnungszeiten.html,vhl_de,VLH-Beraterin Ursula Dohl in Aindling,,Aindling,,,DE,+49 8237 959119,https://www.vlh.de/bst/8194/,,Vereinigte Lohnsteuerhilfe e.V.,Q15852617
,visa,,,STOTZARD,,,DE,,,,,
,visa,,,AINDLING,,,DE,,,,,
,visa,,,TODTENWEIS,,,DE,,,,,
https://www.vr.de/standorte/T/rb-aindling-eg-geschaeftsstelle-todtenweis-8693.html,vr_bank,RB Aindling eG Geschäftsstelle Todtenweis,,Todtenweis,,,DE,+49 8237 811,https://www.raiba-aindling.de,"Mo 08:00-12:00,13:30-16:30; We 08:00-12:00; Fr 08:00-12:00,13:30-16:00",,
https://www.vr.de/standorte/A/raiffeisenbank-aindling-eg-12506.html,vr_bank,Raiffeisenbank Aindling eG,,Aindling,,,DE,+49 8237 959960,https://www.raiba-aindling.de,"Mo-Tu 08:00-12:00,13:30-16:30; We 08:00-12:00; Th 08:00-12:00,13:30-18:30; Fr 08:00-12:00,13:30-16:00",,
