Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://365discount.coop.dk/find-butik/365discount-strandby-kirkevej-esbjerg/24220/,365_discount_dk,"365discount Strandby Kirkevej, Esbjerg",,Esbjerg Ø,,,DK,+45 75 13 19 57,https://365discount.coop.dk/find-butik/365discount-strandby-kirkevej-esbjerg/24220/,,365discount,Q104671354
https://365discount.coop.dk/find-butik/365discount-kvaglundcentret/24030/,365_discount_dk,365discount Kvaglundcentret,,Esbjerg Ø,,,DK,+45 75 47 05 15,https://365discount.coop.dk/find-butik/365discount-kvaglundcentret/24030/,,365discount,Q104671354
1051686,alamo,Esbjerb Airport,,Esbjerg,,,DK,+45 70 21 23 51,,,ALAMO,Q1429287
https://www.circlek.dk/station/circle-k-truck-esbjerg-o,circle_k_dk,CIRCLE K TRUCK ESBJERG Ø,,Esbjerg Ø,,,DK,,https://www.circlek.dk/station/circle-k-truck-esbjerg-o,,Circle K,Q3268010
EBJT61,enterprise,Esbjerb Airport,,Esbjerg,,,DK,+45 70 21 23 51,,,Enterprise Rent-A-Car,Q17085454
FordDB02102  DNK,ford,Bjarne Nielsen A/S,,Esbjerg Ø,,,DK,+45 75 14 21 11,ford.bn.dk,Mo-Fr 09:00-17:30; Sa-Su 11:00-16:00,Ford,Q44294
157,lidl_dk,Lidl,,Esbjerg Ø,,,DK,,,Mo-Su 07:00-21:30,Lidl,Q151954
180,lidl_dk,Lidl,,Esbjerg N,,,DK,,,Mo-Su 07:00-21:30,Lidl,Q151954
40649,man_truck_and_bus,MAN Truck & Bus Esbjerg A/S,,Esbjerg Ø,,,DK,+45 75 15 05 00,,,MAN Truck & Bus,Q708667
1051687,national,Esbjerg Airport,,Esbjerg,,,DK,+45 70 21 23 51,,,NATIONAL,Q1424142
20822011_001-renault,renault,Bjarne Nielsen A/S Esbjerg,,Esbjerg Ø,,,DK,+45 76 13 85 00,,,Renault,Q6686
20822011_001-dacia,renault,Bjarne Nielsen A/S Esbjerg,,Esbjerg Ø,,,DK,+45 76 13 85 00,,,Dacia,Q27460
34fae4fa-a681-43d3-a297-06eea1e1aaab,scania,Scania Danmark A/S,,Esbjerg,,,DK,+45 72 15 85 40,,Mo-Fr 07:15-17:00; Sa 07:15-12:00,Scania,Q219960
DK_10028296,shell,SHELL ESBJERG Ø.,,ESBJERG Ø,,,DK,+45 75 16 01 32,https://find.shell.com/dk/fuel/DK_10028296-shell-esbjerg-o,,Shell,Q110716465
,visa,,,ESBJERG,,,DK,,,,,
