Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
1540,accor,Sofitel Algiers Hamma Garden,"172 rue Hassiba Benbouali, ALGIERS, ALGERIA, 16015 ALGIERS",,,,DZ,,https://all.accor.com/hotel/1540/index.en.shtml,,Sofitel,Q749431
3173,accor,Mercure Alger Aeroport,"Route de l'université BP 12, Cité 5 juillet Bab Ezzouar, 16110 ALGER",,,,DZ,,https://all.accor.com/hotel/3173/index.en.shtml,,Mercure,Q1709809
5682,accor,ibis Algiers Airport,"Quartier des Affaires de, BabEzzouar BP134 Algeria, 16011, 16011 ALGIERS",,,,DZ,,https://all.accor.com/hotel/5682/index.en.shtml,,Ibis,Q920166
6491,accor,ibis Constantine,"2 Square hadj Ali, 25000 CONSTANTINE",,,,DZ,,https://all.accor.com/hotel/6491/index.en.shtml,,Ibis,Q920166
6492,accor,Novotel Constantine,"1 Square Hadj Ali, 25000 CONSTANTINE",,,,DZ,,https://all.accor.com/hotel/6492/index.en.shtml,,Novotel,Q420545
6583,accor,ibis Tlemcen,"Boulevard El Kiffane, Wilaya de Tlemcen, 13000 TLEMCEN",,,,DZ,,https://all.accor.com/hotel/6583/index.en.shtml,,Ibis,Q920166
6945,accor,Ibis Oran les Falaises,"Avenue De Canastel, Route Des Falaises, 31000 ORAN",,,,DZ,,https://all.accor.com/hotel/6945/index.en.shtml,,Ibis,Q920166
7958,accor,ibis Setif,"Avenue de l'ALN, Sétif Algérie, 19000 SETIF",,,,DZ,,https://all.accor.com/hotel/7958/index.en.shtml,,Ibis,Q920166
7964,accor,Novotel Setif,"Avenue De L Aln, Setif Centre, 19000 SETIF",,,,DZ,,https://all.accor.com/hotel/7964/index.en.shtml,,Novotel,Q420545
9126,accor,Royal Hotel Oran-MGallery,"1 Boulevard de la Soummam, 31000 ORAN",,,,DZ,,https://all.accor.com/hotel/9126/index.en.shtml,,MGallery,Q25419207
9817,accor,Mercure Alger Palais Des Congres,"11 ROUTE NATIONALE, LOTISSEMENT 3, AIN BENIAN, 16018 ALGIERS",,,,DZ,,https://all.accor.com/hotel/9817/index.en.shtml,,Mercure,Q1709809
B8L9,accor,Hotel Oran Bay By Accor,"Hai Ibn Rochd, Nommé Route Des Falaises, B.P 7221, 31025 ORAN",,,,DZ,,https://all.accor.com/hotel/B8L9/index.en.shtml,,,
1,alstom,Algiers,"Alstom Algeria SPA Coopérative immobilière - El-Amel lots n° 3 et 4  Said Hamdine Bir Mourad Rai, BP 47 - 16000 Algiers - Algeria",,,,DZ,+213 21 60 57 45,,,Alstom,Q309084
CZLMC,marriott,Constantine Marriott Hotel,,Constantine,,,DZ,+213 31 73 10 73,https://www.marriott.com/CZLMC,,Marriott Hotels & Resorts,Q3918608
ORNMD,marriott,Le Méridien Oran Hotel & Convention Centre,,Oran,,,DZ,+213 41 98 40 00,https://www.marriott.com/ORNMD,,Le Méridien,Q261077
DZ149239,reebok,Reebok store - Ardis Center,,Alger,,,DZ,,,,Reebok,Q466183
319-00,skoda,AUTO VOGUE TIARET,,,,,DZ,,,,Skoda,Q29637
318-01340,skoda,AUTOVOLKS ,,,,,DZ,,,,Skoda,Q29637
318-01330,skoda,BENFLIS MOTORS BATNA ,,,,,DZ,,,,Skoda,Q29637
318-01290,skoda,BOUDEKHANA AUTO SKIKDA,,,,,DZ,,,,Skoda,Q29637
318-01350,skoda,CAR TECH LAGHOUAT ,,,,,DZ,,,,Skoda,Q29637
318-01160,skoda,EL BEIDA AUTO ,,,,,DZ,,,,Skoda,Q29637
318-01280,skoda,EQUINOXE AUTO AIN MLILA ,,,,,DZ,,,,Skoda,Q29637
318-01250,skoda,SARL AUTO SAK ,,,,,DZ,,,,Skoda,Q29637
318-01020,skoda,SARL HALIL COMMERCE INDUSTRIE ,,,,,DZ,,,,Skoda,Q29637
318-01400,skoda,SARL SOVAC ANNABA ,,,,,DZ,,,,Skoda,Q29637
318-01420,skoda,SARL SOVAC CONSTANTINE  ,,,,,DZ,,,,Skoda,Q29637
318-01002,skoda,SARL SOVAC LES DUNES ,,,,,DZ,,,,Skoda,Q29637
318-01310,skoda,SARL VOLKAUTO ,,,,,DZ,,,,Skoda,Q29637
318-01361,skoda,SOVAC DZ ,,,,,DZ,,,,Skoda,Q29637
mena-setif-setif-park-mall,sunglass_hut_2,Setif Park Mall,"Rue du 8 November, Sétif, Algeria",Setif,,,DZ,+213 36 81 40 14,https://mena.sunglasshut.com/en/store-locator/setif-setif-park-mall,Mo-Su 10:00-22:00,Sunglass Hut,Q136311
mena-algiers-oceano-mall,sunglass_hut_2,OCEANO MALL,"Bab Ezzouar, Algeriers",Algiers,,,DZ,,https://mena.sunglasshut.com/en/store-locator/algiers-oceano-mall,Mo-Su 10:00-22:00,Sunglass Hut,Q136311
mena-algiers-bab-ezzouar,sunglass_hut_2,BAB EZZOUAR,"Bab Ezzouar, Algeria",Algiers,,,DZ,,https://mena.sunglasshut.com/en/store-locator/algiers-bab-ezzouar,Mo-Su 09:00-22:00,Sunglass Hut,Q136311
THDZ0002,tommy_hilfiger,Tommy Hilfiger,,Oran,,,DZ,,,,Tommy Hilfiger,Q634881
THDZ0003,tommy_hilfiger,Tommy Hilfiger,,Algiers,,,DZ,,,,Tommy Hilfiger,Q634881
