Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
239174,crocs_eu,Crocs Rocca Al Mare,,Tallinn,,,EE,,,,Crocs,Q926699
0001043696,ecco,ECCO Rocca Al Mare,,Tallinn,,,EE,+372 5807 0808,,Mo-Su 10:00-21:00,Ecco,Q1280255
15185730,esprit,Esprit Franchise Store Tallinn,,Tallinn,,,EE,,"https://www.esprit.com/storefinder?storeid=15185730&location=59.42580000,24.65450000",Mo-Su 10:00-21:00,Esprit,Q532746
EE0401,hm,Paldiski maantee 102,,Tallinn,,,EE,+372 614 8100,,Mo-Sa 10:00-21:00; Su 10:00-19:00,H&M,Q188326
666,ovs,OVS Kids Tallinn Rocca Al mare,,Tallinn,,,EE,,https://stores.ovsfashion.com/en/estonia/tallinn-paldiski-mnt-102,,OVS,Q2042514
https://stores.superdry.com/#17497358,superdry,Superdry  Rocca al Mare,,Tallinn,,,EE,+372 522 7933,https://stores.superdry.com/ee/tallinn/rocca-al-mare,Mo-Su 10:00-21:00,Superdry,Q1684445
TBL-8248,timberland,Timberland - Timberland - Rocca al mare,,Tallinn,,,EE,+372 5854 2328,,,Timberland,Q1539185
THEE0002,tommy_hilfiger,Tommy Hilfiger,,Tallinn,,,EE,+372 5557 1620,,,Tommy Hilfiger,Q634881
,visa,,,PARNU,,,EE,,,,,
,visa,,,TALLINN,,,EE,,,,,
,visa,,,TALLINN,,,EE,,,,,
,visa,,,TALLINN,,,EE,,,,,
,visa,,,TALLINN,,,EE,,,,,
,visa,,,TALLINN,,,EE,,,,,
,visa,,,TALLINN,,,EE,,,,,
,visa,,,TALLINN,,,EE,,,,,
