Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
ES002123,aldi_nord_es,ALDI,,Barcelona,Barcelona,,ES,+34 900 902 466,,Mo-Sa 09:00-21:00,ALDI,Q41171373
,carrefour_es,Carrefour Express Congrès,,Barcelona,Barcelona,,ES,+34 914 90 89 00,https://www.carrefour.es/tiendas-carrefour/supermercados/carrefour-express/congres-barcelona-s.aspx,,Carrefour Express,Q2940190
mercat-merce,indigo,Mercat Mercé,,Barcelona,Barcelona,,ES,+93 407 62 99,,,Indigo,Q3559970
953029d5e508744434b36b839304f8a6,western_union,PATEL MOVIL,,Barcelona,BARCELONA,,ES,+34 930 27 87 69,https://location.westernunion.com/es/barcelona/barcelona/953029d5e508744434b36b839304f8a6,Mo-Su 09:30-21:00,Western Union,Q861042
315564f824909dce5fc3ebfa516f1dbf,western_union,DATA LOCUTORI,,Barcelona,BARCELONA,,ES,+34 900 633 633,https://location.westernunion.com/es/barcelona/barcelona/315564f824909dce5fc3ebfa516f1dbf,Mo-Su 10:00-23:00,Western Union,Q861042
e5e0cd907972f4c5dc8d78d6f87e1e29,western_union,CORREOS Y TELEGRAFOS,,Barcelona,BARCELONA,,ES,+34 915 19 71 97,https://location.westernunion.com/es/barcelona/barcelona/e5e0cd907972f4c5dc8d78d6f87e1e29,Mo-Fr 08:30-20:30; Sa 08:30-14:30,Western Union,Q861042
ea367baf13580148b68f548968941a1a,western_union,LOCUTORIO CADI,,Barcelona,BARCELONA,,ES,+34 900 633 633,https://location.westernunion.com/es/barcelona/barcelona/ea367baf13580148b68f548968941a1a,Mo-Su 10:00-23:00,Western Union,Q861042
f8b8de8fec47dff458325b00ebe0a656,western_union,TABACS,,Barcelona,BARCELONA,,ES,+34 933 57 10 16,https://location.westernunion.com/es/barcelona/barcelona/f8b8de8fec47dff458325b00ebe0a656,Mo-Fr 09:00-20:30; Sa 09:00-13:30,Western Union,Q861042
39c5212ca6e49e74a79b82df860d16ce,western_union,LOCUTORIO NILO,,Barcelona,BARCELONA,,ES,+34 900 633 633,https://location.westernunion.com/es/barcelona/barcelona/39c5212ca6e49e74a79b82df860d16ce,Mo-Su 10:00-23:00,Western Union,Q861042
8e5a00126a3fb5fa06188fb62dddd6e2,western_union,AL NOOR MOBILS,,Barcelona,BARCELONA,,ES,+34 933 50 27 36,https://location.westernunion.com/es/barcelona/barcelona/8e5a00126a3fb5fa06188fb62dddd6e2,Mo-Su 09:00-23:00,Western Union,Q861042
