Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
ES003135,aldi_nord_es,ALDI,,Granada,Granada,,ES,+34 900 902 466,,Mo-Sa 09:00-21:30,ALDI,Q41171373
https://www.avis.com/en/locations/es/granada/gx4,avis,Avis Spain Granada,,Granada,Granada,,ES,+34 662 32 42 81,https://www.avis.com/en/locations/es/granada/gx4,Mo-Sa 09:00-12:45,Avis,Q791136
,carrefour_es,Carrefour Express Avenida del Sur - Granada,,Granada,Granada,,ES,+34 914 90 89 00,https://www.carrefour.es/tiendas-carrefour/supermercados/carrefour-express/avenida-sur-granada-s.aspx,,Carrefour Express,Q2940190
434,mcdonalds_es,GRANADA ESTACION,"Avda. Juan Pablo II, nº53",Granada,Granada,,ES,+34 958 11 63 60,,Mo-Th 11:00-23:00; Fr-Sa 11:00-24:00; Su 10:00-23:00,McDonald's,Q38076
532,ricoh_europe,Ricoh Granada,,Granada,Granada,,ES,+34 900 747 631,,,Ricoh,
,visa,,,GRANADA,GRANADA,,ES,,,,,
,visa,,,GRANADA,GRANADA,,ES,,,,,
https://tiendas.vodafone.es/tiendas/granada/granada/vodafone-granada-avda-constitucion,vodafone_es,Vodafone Granada - Avda. Constitución,,Granada,Granada,,ES,+34 633 32 67 49,https://tiendas.vodafone.es/tiendas/granada/granada/vodafone-granada-avda-constitucion,"Mo-Fr 09:30-14:00,17:30-20:30; Sa 10:00-14:00",Vodafone,Q122141
4bf508863d51c41ce25db71fd8a4d314,western_union,MACCORP EXACT CHANGE GRANADA,,Granada,GRANADA,,ES,+34 958 34 27 78,https://location.westernunion.com/es/granada/granada/4bf508863d51c41ce25db71fd8a4d314,Mo-Su 09:00-23:00,Western Union,Q861042
99f905ba724770fb5fb97c1122094ae2,western_union,CORREOS Y TELEGRAFOS,,Granada,GRANADA,,ES,+34 915 19 71 97,https://location.westernunion.com/es/granada/granada/99f905ba724770fb5fb97c1122094ae2,Mo-Fr 08:00-21:00; Sa 08:30-14:30,Western Union,Q861042
