Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
ES003061,aldi_nord_es,ALDI,,Sevilla,Sevilla,,ES,+34 900 902 466,,Mo-Sa 09:00-21:30,ALDI,Q41171373
19953,burgerking,Burger King,,Sevilla,Sevilla,,ES,+34 676 89 75 04,,Mo-Th 13:00-23:30; Fr-Sa 13:00-01:00; Su 13:00-00:00,Burger King,Q177054
20511,burgerking,Burger King,,Sevilla,Sevilla,,ES,+34 658 85 25 88,,Mo-Su 13:00-23:30,Burger King,Q177054
,carrefour_es,Carrefour Montequinto - Sevilla,,Sevilla,Sevilla,,ES,+34 604 13 62 06,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/montequinto_sevilla.aspx,,Carrefour,Q217599
,carrefour_es,EESS Montequinto - Sevilla,,Sevilla,Sevilla,,ES,+34 914 90 89 00,https://www.carrefour.es/tiendas-carrefour/buscador-de-tiendas/locations.aspx,,Carrefour,Q217599
,carrefour_es,Carrefour Express Guadalimar,,Sevilla,Sevilla,,ES,+34 613 71 80 77,https://www.carrefour.es/tiendas-carrefour/supermercados/carrefour-express/guadalimar-sevilla-s.aspx,,Carrefour Express,Q2940190
1184,mcdonalds_es,McDonald's Sevilla Hospital,"Calle Torcuato Luca de Tena, esquina con calle Castillo Alcalá de Guadaira",Sevilla,Sevilla,,ES,+34 955 74 98 85,,Mo-Th 10:00-00:30; Fr-Sa 10:00-01:00; Su 12:00-01:00,McDonald's,Q38076
588,peluquerias_low_cost_es,Peluquerías Low Cost,,Sevilla,Sevilla,,ES,,,,Peluquerías Low Cost,Q115775082
,visa,,,SEVILLA,SEVILLA,,ES,,,,,
https://tiendas.vodafone.es/tiendas/sevilla/sevilla/vodafone-sevilla-bermejales,vodafone_es,Vodafone Sevilla - Bermejales,,Sevilla,Sevilla,,ES,+34 671 54 51 43,https://tiendas.vodafone.es/tiendas/sevilla/sevilla/vodafone-sevilla-bermejales,"Mo-Fr 09:30-14:00,17:30-20:30",Vodafone,Q122141
https://tiendas.vodafone.es/tiendas/sevilla/sevilla/vodafone-carrefour-carretera-utrera,vodafone_es,Vodafone Carrefour Carretera Utrera,,Sevilla,Sevilla,,ES,+34 662 62 30 90,https://tiendas.vodafone.es/tiendas/sevilla/sevilla/vodafone-carrefour-carretera-utrera,,Vodafone,Q122141
https://tiendas.vodafone.es/tiendas/sevilla/sevilla/vodafone-carrefour-carretera-utrera-sevilla,vodafone_es,Vodafone Carrefour Carretera Utrera,,Sevilla,Sevilla,,ES,+34 607 00 00 00,https://tiendas.vodafone.es/tiendas/sevilla/sevilla/vodafone-carrefour-carretera-utrera-sevilla,Mo-Sa 10:00-21:30,Vodafone,Q122141
https://tiendas.vodafone.es/tiendas/sevilla/sevilla/vodafone-felipe-ii,vodafone_es,Vodafone Felipe II,,Sevilla,Sevilla,,ES,+34 662 62 30 90,https://tiendas.vodafone.es/tiendas/sevilla/sevilla/vodafone-felipe-ii,"Mo-Fr 10:00-14:00,17:00-20:30; Sa 10:00-14:00",Vodafone,Q122141
7624edd0785f6f8ea1b57edbed9cb135,western_union,LOCUTORIO HI TECH,,Sevilla,SEVILLA,,ES,+34 632 00 15 72,https://location.westernunion.com/es/sevilla/sevilla/7624edd0785f6f8ea1b57edbed9cb135,Mo-Su 09:00-22:00,Western Union,Q861042
7d3fef77c1bc2696fb8ae3084caebb0d,western_union,SEVILLA,,Sevilla,SEVILLA,,ES,+34 955 14 90 07,https://location.westernunion.com/es/sevilla/sevilla/7d3fef77c1bc2696fb8ae3084caebb0d,Mo-Th 10:00-20:00; Fr 10:00-10:00; Sa 10:00-14:00,Western Union,Q861042
