Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
1001802,dia_es,,,Valladolid,,,ES,,,Mo-Sa 09:00-21:30,Dia,Q925132
4088,dia_es,,,Valladolid,,,ES,,,Mo-Sa 09:00-21:30,Dia,Q925132
BIKI_valladolid:6,gbfs,005 Plaza Trinidad,,,,,ES,,https://biki-valladolid.es,,Valladolid,
BIKI_valladolid:8,gbfs,007 Plaza Poniente,,,,,ES,,https://biki-valladolid.es,,Valladolid,
BIKI_valladolid:15,gbfs,014 Plaza de San Miguel,,,,,ES,,https://biki-valladolid.es,,Valladolid,
BIKI_valladolid:20,gbfs,019 Angustias,,,,,ES,,https://biki-valladolid.es,,Valladolid,
72424727_001-renault,renault,"TALLERES POLI, S.L.",,VALLADOLID,,,ES,+34 983 25 65 65,,,Renault,Q6686
72424727_001-dacia,renault,"TALLERES POLI, S.L.",,VALLADOLID,,,ES,+34 983 25 65 65,,,Dacia,Q27460
,visa,,,VALLADOLID,,,ES,,,,,
,visa,,,VALLADOLID,,,ES,,,,,
,visa,,,VALLADOLID,,,ES,,,,,
