City,Place Name,Zipcode,Name
Addis Ababa,mercedes_benz,,unknown,Orbis Trading & Technical Center
ADDIS ABABA,visa,,unknown,unknown
Addis Ababa,western_union,,unknown,BERHAN BANK SC
Hosaena,western_union,,unknown,BOA COLONEL BEZABIHPETROS
Melka,western_union,,unknown,WEGAGEN BANK ADAMA BERECHA BRANCH
Menagesha,western_union,,unknown,CBO QORKE KARABU BRANCH
Welete,western_union,,unknown,WOLETE AREA DASHEN BANK
Sebeta,western_union,,unknown,FURI ADEBABAY
Alemgena,western_union,,unknown,CBE MELKA SEBETA
Addis Abeba,western_union,,unknown,NIB  AYAT TAFO
Repi,western_union,,unknown,CBE REPI BRANCH
Adiss Ababa,western_union,,unknown,KILINTO BRANCH
Kolfe Keranio,western_union,,unknown,KOLFE KERANIO
Jemo,western_union,,unknown,WEGAGEN BANK MICHILILAND BRANCH
Akaki Beseka,western_union,,unknown,CBE AKAKI BRANCH
Nefassilk Lafto,western_union,,unknown,N S LAFTO
Inch,western_union,,unknown,WEGAGEN BANK ZENEBU WORKE BRANCH
Bole,western_union,,unknown,BOLE
Merkato,western_union,,unknown,CBO MERKATO BRANCH
Addis Abab,western_union,,unknown,SULULA GARBI
Kirkos,western_union,,unknown,KIRKOS
Addis Aababa,western_union,,unknown,AIB BOLE CARGO
Arada,western_union,,unknown,ARADA
Gunde Meskel,western_union,,unknown,CBE GUNDE MESKEL BRANCH
Etege Taitu,western_union,,unknown,BANK OF ABYSSINIA ETEGE TAITU BRANCH
Addis Ababa City Adminstration,western_union,,unknown,DR TEGUEST GUERMA WUHALIMAT
Yeka,western_union,,unknown,YEKA
Adis Ababa,western_union,,unknown,ABAY BANK MEHAL GURD SHOLA BRANCH
North Addis,western_union,,unknown,CBE SULULTA MIZAN BRANCH
Lege Tafo,western_union,,unknown,CBO LEGE TAFO BRANCH
Enewari,western_union,,unknown,BANK OF ABYSSINIA RASABEBE AREGAY
Gonder,western_union,,unknown,BANK OF ABYSSINIA ETEGE MINTIWAB SUB BRA
