Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
68239813,moneygram,ADDIS INTERNATIONAL BANK S.C - ADDIS ABA,,ADDIS ABABA,,,ET,+251 91 103 3798,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
72306172,moneygram,ADDIS INTERNATIONAL BANK - #59 - MERI LO,,WOLAITA SODO,,,ET,111809517,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69315943,moneygram,ADDIS INTERNATIONAL BANK S.C - BAHIRDAR,,BAHIR DAR,,,ET,+251 58 220 6850,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69315998,moneygram,ADDIS INTERNATIONAL BANK S.C - YERERGORO,,ADDIS ABABA,,,ET,116677055,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
69381317,moneygram,ADDIS INTERNATIONAL BANK SC - MEXICO,,ADDIS ABABA,,,ET,0115573154,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
70486816,moneygram,ADDIS INTL BANK - DIREDAWA,,DIRE DAWA,,,ET,254114670,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
70651557,moneygram,ADDIS INTERNATIONAL BANK S.C - ADDIS ABA,,ADDIS ABABA,,,ET,2316005,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
70615522,moneygram,ADDIS INTL BANK - KALITY,,DIRE DAWA,,,ET,6676285,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
65671270,moneygram,NIB - KALITY,,ADDIS ABABA,,,ET,391086,,Mo-Su 08:00-17:00,MoneyGram,Q1944412
67128611,moneygram,ADDIS INTERNATIONAL BANK S.C - HEAD OFFI,,ADDIS ABABA,,,ET,+251 11 554 9773,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
67602991,moneygram,ADDIS INTERNATIONAL BANK S.C - ADAMA,,ADAMA,,,ET,+251 22 111 2301,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
67798478,moneygram,ADDIS INTERNATIONAL BANK S.C - MEKANISSA,,ADDIS ABABA,,,ET,+251 11 321 0120,,Mo-Sa 08:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
