Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72429509,moneygram,BANK OF ABYSSINIA - AFDERA,,AFDERA,,,ET,332464034,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72429541,moneygram,BANK OF ABYSSINIA - MAJETIE,,MAJETIE,,,ET,333162041,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72429567,moneygram,BANK OF ABYSSINIA - METTI BRANCH,,METTI,,,ET,473390515,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72429512,moneygram,BANK OF ABYSSINIA - WOGDI,,WOGDI,,,ET,334450574,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72429538,moneygram,BANK OF ABYSSINIA - WOGELETENA,,WOGELETENA,,,ET,333350535,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72429525,moneygram,BANK OF ABYSSINIA - WUCHALIE,,WUCHALIE,,,ET,+251 33 224 0355,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72774542,moneygram,BANK OF ABYSSINIA - SHEBLE BRANCH,,JIJIGA,,,ET,254110706,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73899316,moneygram,BANK OF ABYSSINIA - GENALE BRANCH,,JIJIGA,,,ET,254110706,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73899248,moneygram,BANK OF ABYSSINIA - GOFA GEBRIEL BRANCH,,ADDIS ABABA,,,ET,+251 11 667 1974,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73969945,moneygram,BANK OF ABYSSINIA - GORO MENAHERIA BRANC,,DIRE DAWA,,,ET,254110773,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73969990,moneygram,BANK OF ABYSSINIA - DIRE AIRPORT BRANCH,,DIRE DAWA,,,ET,254110706,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74067325,moneygram,BANK OF ABYSSINIA - JERER BRANCH,,JIGJIGA,,,ET,254110775,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74313749,moneygram,ABAY BANK S C - #366 - KEBRIDHAR BRANCH,,KEBRIDHAR,,,ET,255415487,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74313778,moneygram,ABAY BANK S C - #367 - GODE BRANCH,,GODE,,,ET,254645456,,Mo-Sa 08:00-21:00; Su 00:00-24:00,MoneyGram,Q1944412
74412831,moneygram,BANK OF ABYSSINIA - KARAMARA BRANCH,,JIGJIGA,,,ET,254110706,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74444003,moneygram,BANK OF ABYSSINIA - KELAFO BRANCH,,KELAFO,,,ET,254110773,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
74818150,moneygram,BANK OF ABYSSINIA - KEBRIBEYAH - KEBRI B,,KEBRIBEYAH,,,ET,254110773,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
72429554,moneygram,BANK OF ABYSSINIA - MEKOYE,,MEKOYE,,,ET,+251 33 444 0391,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
73721675,moneygram,BANK OF ABYSSINIA - HART SHEIK BRANCH,,HART SHEIK,,,ET,254110774,,Mo-Sa 08:00-19:00; Su 00:00-24:00,MoneyGram,Q1944412
