Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,AURILLAC,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,AURILLAC,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,PIERREFORT,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,NAUCELLES,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,VIC SUR CERE,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,BRIVE LA GAILLARDE,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,ALLANCHE,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,NAVES,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,CONDAT,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,ARNAC POMPADOUR,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,ST GERMAIN LEMBRON,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,VIVEROLS,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,ISSOIRE,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,AMBERT,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,BOURG LASTIC,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,BILLOM,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,COURNON D'AUVERGNE,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,BEAUMONT,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,CLERMONT FERRAND,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,CLERMONT FERRAND,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,CLERMONT FERRAND,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,CLERMONT FERRAND,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,CLERMONT FERRAN,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,CLERMONT FERRAN,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,VERTAIZON,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,PONT DU CHATEAU,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,CLERMONT FERRAND,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,CEBAZAT,AUVERGNE-RHONE-ALPES,,FR,,,,,
,visa,,,JARNAGES,AUVERGNE-RHONE-ALPES,,FR,,,,,
bebef243197bfb3cb52d7bcbdbf0cee3,western_union,TABAC DES BEAUX ARTS,,Clermont Ferrand,AUVERGNE RHONE ALPES,,FR,+33 4 73 92 54 31,https://location.westernunion.com/fr/auvergne-rhone-alpes/clermont-ferrand/bebef243197bfb3cb52d7bcbdbf0cee3,Mo-Su 06:30-20:30,Western Union,Q861042
839c542e3305c183163b610c74d6a1b1,western_union,CLERMONT FERRAND SAINT ELOI BP,,Clermont Ferrand,AUVERGNE RHONE ALPES,,FR,(+33) 3631,https://location.westernunion.com/fr/auvergne-rhone-alpes/clermont-ferrand/839c542e3305c183163b610c74d6a1b1,Mo 09:00-18:00; We-Fr 09:00-18:00; Sa 09:00-12:00,Western Union,Q861042
1a7a7cf756b182e42f27ec47865beb3e,western_union,CLERMONT FERRAND VALLIERES BP,,Clermont Ferrand,AUVERGNE RHONE ALPES,,FR,(+33) 3631,https://location.westernunion.com/fr/auvergne-rhone-alpes/clermont-ferrand/1a7a7cf756b182e42f27ec47865beb3e,Mo-Fr 09:00-18:00; Sa 09:00-12:00,Western Union,Q861042
8245a12c5c32268254337ef5f0e0dc1d,western_union,CLERMONT FERRAND PLACE GAILLARD BP,,Clermont Ferrand,AUVERGNE RHONE ALPES,,FR,(+33) 3631,https://location.westernunion.com/fr/auvergne-rhone-alpes/clermont-ferrand/8245a12c5c32268254337ef5f0e0dc1d,Mo-Tu 09:00-18:00; We 14:00-18:00; Th-Fr 09:00-18:00; Sa 09:00-12:00,Western Union,Q861042
0b54518b5652d8bffc5e2ff266837edc,western_union,AMMA SHOP,,Clermont Ferrand,AUVERGNE RHONE ALPES,,FR,+33 6 65 55 50 50,https://location.westernunion.com/fr/auvergne-rhone-alpes/clermont-ferrand/0b54518b5652d8bffc5e2ff266837edc,Mo-Su 10:00-22:00,Western Union,Q861042
b1111363e5ab7bea4fdc9e87c72dc600,western_union,ACTIONTECH,,Clermont Ferrand,AUVERGNE RHONE ALPES,,FR,+33 6 76 87 57 51,https://location.westernunion.com/fr/auvergne-rhone-alpes/clermont-ferrand/b1111363e5ab7bea4fdc9e87c72dc600,Mo-Sa 09:00-19:00; Su 10:00-19:00,Western Union,Q861042
