Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
1233t001t1,e_leclerc,Parapharmacie,,ST MEDARD EN JALLES CEDEX,Aquitaine,,FR,+33 5 56 70 80 80,https://e.leclerc/mag/e-leclerc-saint-medard-en-jalles,Mo-Sa 08:30-20:00, E.Leclerc Parapharmacie,Q1273376
1233t003t1,e_leclerc,Manège à bijoux,,ST MEDARD EN JALLES CEDEX,Aquitaine,,FR,+33 5 56 70 80 80,https://e.leclerc/mag/e-leclerc-saint-medard-en-jalles,Mo-Sa 09:30-20:00,Manège à Bijoux,Q1273376
1233t008t1,e_leclerc,Station Service,,ST MEDARD EN JALLES CEDEX,Aquitaine,,FR,+33 5 56 70 80 80,,Mo-Su 00:01-24:00,E.Leclerc,Q1273376
1233t011t1,e_leclerc,Voyages,,ST MEDARD EN JALLES CEDEX,Aquitaine,,FR,+33 5 56 70 80 95,https://e.leclerc/mag/e-leclerc-saint-medard-en-jalles,Mo-Sa 09:30-20:00,E.Leclerc,Q1273376
1233t078t1,e_leclerc,Espace Culturel,,ST MEDARD EN JALLES CEDEX,Aquitaine,,FR,+33 5 56 70 81 15,https://e.leclerc/mag/e-leclerc-saint-medard-en-jalles,Mo-Sa 09:30-20:00,E.Leclerc Espace Culturel,Q1273376
1233t083t1,e_leclerc,Une heure pour Soi,,ST MEDARD EN JALLES CEDEX,Aquitaine,,FR,+33 5 56 70 80 78,https://e.leclerc/mag/e-leclerc-saint-medard-en-jalles,Mo-Sa 09:30-20:00,Une Heure Pour Soi,Q1273376
1233t101t1,e_leclerc,SAINT MEDARD EN JALLES,,SAINT MEDARD EN JALLES,Aquitaine,,FR,+33 5 56 70 80 80,https://e.leclerc/mag/e-leclerc-saint-medard-en-jalles,Mo-Sa 08:30-21:00; Su 08:30-12:30,E.Leclerc,Q1273376
1233t111t1,e_leclerc,Brico,,ST MEDARD EN JALLES CEDEX,Aquitaine,,FR,+33 5 56 70 80 80,https://e.leclerc/mag/e-leclerc-saint-medard-en-jalles,Mo-Sa 08:30-20:00,E.Leclerc Brico,Q1273376
1233t117t1,e_leclerc,Location,,ST MEDARD EN JALLES CEDEX,Aquitaine,,FR,+33 5 56 70 14 55,https://e.leclerc/mag/e-leclerc-saint-medard-en-jalles,Mo-Sa 08:30-20:00,E.Leclerc Location,Q1273376
1233t118t2,e_leclerc,Drive Saint-Médard-en-Jalles,,Saint-Médard-en-Jalles,Aquitaine,,FR,+33 5 56 13 12 67,https://e.leclerc/mag/e-leclerc-saint-medard-en-jalles,Mo-Sa 08:30-20:30,E.Leclerc Drive,Q1273376
