Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
R394,apple,Apple Strasbourg,,Strasbourg,Bas-Rhin,,FR,+33 3 88 10 13 00,https://www.apple.com/fr/retail/strasbourg,Mo-Sa 10:00-19:00,Apple,Q421253
0003024834,g_star_raw,G-Star RAW Store Strasbourg,,STRASBOURG,Bas-Rhin,,FR,+33 3 88 23 51 66,https://www.g-star.com/en_us/stores/fr/g-star-raw-store-strasbourg,Mo 11:00-11:00; Tu-Sa 10:00-10:00,G-Star Raw,Q1484081
S228,vans,VANS Store Strasbourg - CLOSED,,Strasbourg,Bas-Rhin,,FR,+33 3 88 36 91 80,https://www.vans.com/en-us/stores/bas-rhin/strasbourg/s228,,Vans,Q1135366
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
,visa,,,STRASBOURG,BAS-RHIN,,FR,,,,,
