Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://www.cic.fr:443/fr/agences/30087/33762/00/000,cic,CIC,,SEZANNE,Champagne-Ardenne,,FR,+33 3 26 80 35 53,https://www.cic.fr:443/fr/agences/30087/33762/00/000,"Tu-We 08:30-12:15,13:30-18:00; Th 08:30-12:15,14:30-18:00; Fr 08:30-12:15,13:30-18:00; Sa 08:15-12:15",cic,Q746525
0351t003t1,e_leclerc,Manège à bijoux,,SEZANNE,Champagne-Ardenne,,FR,+33 3 26 81 76 76,https://e.leclerc/mag/e-leclerc-sezanne,Mo-Fr 09:30-19:30; Sa 08:30-19:30,Manège à Bijoux,Q1273376
0351t006t1,e_leclerc,Jardi,,SEZANNE,Champagne-Ardenne,,FR,+33 3 26 81 76 76,https://e.leclerc/mag/e-leclerc-sezanne,"Mo-Th 09:00-12:30,14:00-19:00; Fr-Sa 09:00-19:00; Su 09:30-12:30",E.Leclerc Jardi,Q1273376
0351t008t1,e_leclerc,Station Service,,SEZANNE,Champagne-Ardenne,,FR,+33 3 26 81 76 76,,24/7,E.Leclerc,Q1273376
0351t010t1,e_leclerc,Auto,,SEZANNE,Champagne-Ardenne,,FR,+33 3 26 80 62 00,https://e.leclerc/mag/e-leclerc-sezanne,"Mo-Th 09:00-12:30,14:00-19:00; Fr-Sa 09:00-19:00",E.Leclerc,Q1273376
0351t101t1,e_leclerc,SEZANNE,,SEZANNE,Champagne-Ardenne,,FR,+33 3 26 81 76 76,https://e.leclerc/mag/e-leclerc-sezanne,Mo-Sa 08:30-19:30; Su 09:30-12:30,E.Leclerc,Q1273376
0351t111t1,e_leclerc,Brico,,SEZANNE,Champagne-Ardenne,,FR,+33 3 26 81 76 76,https://e.leclerc/mag/e-leclerc-sezanne,"Mo-Th 09:00-12:30,14:00-19:00; Fr-Sa 09:00-19:00; Su 09:30-12:30",E.Leclerc Brico,Q1273376
0351t114t1,e_leclerc,Express Montmirail,,SEZANNE,Champagne-Ardenne,,FR,+33 3 26 81 76 76,https://www.e.leclerc/mag/e-leclerc-express-montmirail,Mo-Sa 08:30-19:30; Su 09:00-12:00,E.Leclerc Express,Q1273376
0351t117t1,e_leclerc,Location,,SEZANNE,Champagne-Ardenne,,FR,+33 3 26 80 61 50,,Mo-Sa 08:30-19:00,E.Leclerc Location,Q1273376
0351t118t1,e_leclerc,Drive Sézanne,,SEZANNE,Champagne-Ardenne,,FR,+33 3 26 81 76 98,,Mo-Sa 08:00-19:30; Su 09:30-12:30,E.Leclerc Drive,Q1273376
https://local.fedex.com/#1017423647,fedex,,,Sezanne,Champagne-Ardenne,,FR,,https://local.fedex.com/en-fr/sezanne/rheah,,FedEx,Q459477
