Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://www.cic.fr:443/fr/agences/30066/10953/00/000,cic,CIC,,DRANCY,Ile-de-France,,FR,+33 1 43 62 18 48,https://www.cic.fr:443/fr/agences/30066/10953/00/000,"Tu-Fr 09:30-13:15,14:30-18:00; Sa 09:30-13:15,14:30-17:00",cic,Q746525
https://local.fedex.com/#1017452475,fedex,,,Drancy,Ile-de-France,,FR,,https://local.fedex.com/en-fr/drancy/lbglu,,FedEx,Q459477
https://local.fedex.com/#1017424974,fedex,,,Drancy,Ile-de-France,,FR,,https://local.fedex.com/en-fr/drancy/lbghu,,FedEx,Q459477
https://local.fedex.com/#1028713666,fedex,,,Drancy,Ile-de-France,,FR,,https://local.fedex.com/en-fr/drancy/lbgf3,,FedEx,Q459477
https://local.fedex.com/#1017428579,fedex,,,Drancy,Ile-de-France,,FR,,https://local.fedex.com/en-fr/drancy/lbgf0,,FedEx,Q459477
https://local.fedex.com/#1017433301,fedex,,,Drancy,Ile-de-France,,FR,,https://local.fedex.com/en-fr/drancy/lbgdf,,FedEx,Q459477
https://local.fedex.com/#1017451707,fedex,,,Drancy,Ile-de-France,,FR,,https://local.fedex.com/en-fr/drancy/lbgc8,,FedEx,Q459477
https://local.fedex.com/#1017448744,fedex,,,Drancy,Ile-de-France,,FR,,https://local.fedex.com/en-fr/drancy/lbgc4,,FedEx,Q459477
https://local.fedex.com/#1017448551,fedex,,,Drancy,Ile-de-France,,FR,,https://local.fedex.com/en-fr/drancy/lbgba,,FedEx,Q459477
https://local.fedex.com/#1017443437,fedex,,,Drancy,Ile-de-France,,FR,,https://local.fedex.com/en-fr/drancy/lbg7z,,FedEx,Q459477
,visa,,,ST ARNOULT EN YVELINES,ILE-DE-FRANCE,,FR,,,,,
,visa,,,DRANCY,ILE-DE-FRANCE,,FR,,,,,
,visa,,,DRANCY,ILE-DE-FRANCE,,FR,,,,,
,visa,,,BEAUMONT SUR OISE,ILE-DE-FRANCE,,FR,,,,,
a935063981fa6ccf55220489af32bf29,western_union,VELLA,,Drancy,ILE DE FRANCE,,FR,+33 9 86 68 60 22,https://location.westernunion.com/fr/ile-de-france/drancy/a935063981fa6ccf55220489af32bf29,Mo-Su 10:00-21:00,Western Union,Q861042
1c23d4ec93f8516d79adc55f995be8b4,western_union,V D B,,Drancy,ILE DE FRANCE,,FR,+33 6 60 28 70 33,https://location.westernunion.com/fr/ile-de-france/drancy/1c23d4ec93f8516d79adc55f995be8b4,Mo-Sa 09:00-20:00; Su 09:30-21:30,Western Union,Q861042
d4b03a3848fb837d01cc2b69c8d01c6b,western_union,NBA 6 MOBILE STORE,,Drancy,ILE DE FRANCE,,FR,+33 7 67 34 48 67,https://location.westernunion.com/fr/ile-de-france/drancy/d4b03a3848fb837d01cc2b69c8d01c6b,Mo-Su 09:00-23:30,Western Union,Q861042
142135cd6bf730fe4816807ebdb37061,western_union,DRANCY BP,,Drancy,ILE DE FRANCE,,FR,(+33) 3631,https://location.westernunion.com/fr/ile-de-france/drancy/142135cd6bf730fe4816807ebdb37061,Mo-Fr 08:30-19:00; Sa 08:30-12:30,Western Union,Q861042
2cc74ef72e12debb3679536e2c9bc060,western_union,BAR DE L AMITIE,,Drancy,ILE DE FRANCE,,FR,+33 6 58 05 72 47,https://location.westernunion.com/fr/ile-de-france/drancy/2cc74ef72e12debb3679536e2c9bc060,Mo-Su 07:00-22:00,Western Union,Q861042
29026c4cb1dbdd34ac9a3f65d9273e41,western_union,LE BOURGET COMMUNICATION,,Drancy,ILE DE FRANCE,,FR,+33 1 72 40 86 01,https://location.westernunion.com/fr/ile-de-france/drancy/29026c4cb1dbdd34ac9a3f65d9273e41,Mo-Su 09:30-22:00,Western Union,Q861042
c529ee5db83a5b4f4b6915844e428f51,western_union,BROTHERS TELECOM,,Drancy,ILE DE FRANCE,,FR,+33 9 80 56 35 14,https://location.westernunion.com/fr/ile-de-france/drancy/c529ee5db83a5b4f4b6915844e428f51,Mo-Su 09:00-22:00,Western Union,Q861042
