Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
FRAA04460,audi,ALGAUTO SA,"Rue Guillaume Le Conquérant, DEAUVILLE (TOUQUES), 14800",DEAUVILLE (TOUQUES),Lower Normandy,,FR,+33 2 31 98 59 59,,,Audi,Q23317
https://www.cic.fr:443/fr/agences/30027/16011/00/000,cic,CIC,,DEAUVILLE,Lower Normandy,,FR,+33 2 31 14 00 41,https://www.cic.fr:443/fr/agences/30027/16011/00/000,"Tu-We 08:45-12:30,13:30-18:00; Th 08:45-12:30,14:30-18:00; Fr 08:45-12:30,14:00-18:00; Sa 08:30-13:00",cic,Q746525
0814t008t1,e_leclerc,Station Service,,DEAUVILLE,Lower Normandy,,FR,+33 2 31 14 40 50,,24/7,E.Leclerc,Q1273376
0814t101t1,e_leclerc,TOUQUES,,DEAUVILLE,Lower Normandy,,FR,+33 2 31 14 40 50,https://e.leclerc/mag/e-leclerc-touques,Mo-Sa 08:30-20:00,E.Leclerc,Q1273376
0814t118t2,e_leclerc,Drive Touques / Deauville,,Touques,Lower Normandy,,FR,+33 2 31 14 40 50,https://e.leclerc/mag/e-leclerc-touques,Mo-Sa 08:30-19:30,E.Leclerc Drive,Q1273376
https://local.fedex.com/#1017445422,fedex,,,Deauville,Lower Normandy,,FR,,https://local.fedex.com/en-fr/deauville/cfrqo,,FedEx,Q459477
https://local.fedex.com/#1017424828,fedex,,,Deauville,Lower Normandy,,FR,,https://local.fedex.com/en-fr/deauville/cfrjf,,FedEx,Q459477
cee6cf041677484807df757c9c03faec,ikks,IKKS Men DEAUVILLE,,DEAUVILLE,Lower Normandy,,FR,+33 2 31 81 03 47,,Mo-Fr 10:00-19:00; Sa 10:00-19:30; Su 11:00-19:00,IKKS,Q3146711
8a86ed11f3e6d27c0cbcf1bed5896320,ikks,IKKS Junior DEAUVILLE,,DEAUVILLE,Lower Normandy,,FR,+33 2 31 88 33 05,,"Mo-Sa 10:00-13:00,14:00-19:00; Su 11:00-13:00,14:00-19:00",IKKS,Q3146711
536c8f21e0bbafaa06e12a891a31e945,ikks,IKKS Women DEAUVILLE,,DEAUVILLE,Lower Normandy,,FR,+33 2 31 89 31 39,,"Mo-Sa 10:00-13:00,14:00-19:00; Su 11:00-19:00",IKKS,Q3146711
