Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
FRAA08792,audi,I G A BASA SAS,"6, Rue Jean Couzinet, NIORT, 79000",NIORT,Poitou-Charentes,,FR,+33 5 49 17 85 30,,,Audi,Q23317
1079t078t1,e_leclerc,Espace Culturel,,NIORT,Poitou-Charentes,,FR,+33 5 49 17 39 10,https://e.leclerc/mag/e-leclerc-niort-mendes-france,Mo-Sa 09:00-20:00,E.Leclerc Espace Culturel,Q1273376
1079t118t1,e_leclerc,Drive Niort Mendes France,,NIORT,Poitou-Charentes,,FR,+33 5 49 76 91 71,https://e.leclerc/mag/e-leclerc-niort-mendes-france,Mo-Sa 06:00-20:00,E.Leclerc Drive,Q1273376
1079t118t2,e_leclerc,Drive Bessines / Niort,,Bessines,Poitou-Charentes,,FR,+33 5 49 78 98 98,https://e.leclerc/mag/e-leclerc-niort-mendes-france,Mo-Sa 07:00-20:00,E.Leclerc Drive,Q1273376
1179t102t1,e_leclerc,NIORT CENTRE VILLE,,NIORT CEDEX 9,Poitou-Charentes,,FR,+33 5 49 77 13 30,https://e.leclerc/mag/e-leclerc-niort-centre-ville,Mo-Sa 08:30-20:00; Su 09:30-12:15,E.Leclerc,Q1273376
https://local.fedex.com/#1017424867,fedex,,,Niort,Poitou-Charentes,,FR,,https://local.fedex.com/en-fr/niort/nityi,,FedEx,Q459477
https://local.fedex.com/#1017447083,fedex,,,Niort,Poitou-Charentes,,FR,,https://local.fedex.com/en-fr/niort/nityf,,FedEx,Q459477
https://local.fedex.com/#1017440106,fedex,,,Niort,Poitou-Charentes,,FR,,https://local.fedex.com/en-fr/niort/nitwv,,FedEx,Q459477
https://local.fedex.com/#1017429455,fedex,,,Niort,Poitou-Charentes,,FR,,https://local.fedex.com/en-fr/niort/nitue,,FedEx,Q459477
https://local.fedex.com/#1017446075,fedex,,,Niort,Poitou-Charentes,,FR,,https://local.fedex.com/en-fr/niort/nituc,,FedEx,Q459477
https://local.fedex.com/#1017444256,fedex,,,Niort,Poitou-Charentes,,FR,,https://local.fedex.com/en-fr/niort/nitnu,,FedEx,Q459477
https://local.fedex.com/#1017438345,fedex,,,Niort,Poitou-Charentes,,FR,,https://local.fedex.com/en-fr/niort/nitdr,,FedEx,Q459477
https://local.fedex.com/#1017451013,fedex,,,Niort,Poitou-Charentes,,FR,,https://local.fedex.com/en-fr/niort/nitcz,,FedEx,Q459477
https://local.fedex.com/#1017425435,fedex,,,Niort,Poitou-Charentes,,FR,,https://local.fedex.com/en-fr/niort/nitbm,,FedEx,Q459477
536c8f21e0bbafaa06e12a891a32ce41,ikks,XandO Women NIORT,,NIORT,Poitou-Charentes,,FR,+33 5 49 33 43 59,,"Tu-Th 10:00-13:15,14:00-19:00; Fr-Sa 10:00-19:00",IKKS,Q3146711
1044252,starbucks_eu,Niort victor hugo,"25 rue victor hugo, 79000 Niort",Niort,Poitou-Charentes,,FR,,,,Starbucks,Q37158
