Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
1806t001t1,e_leclerc,Parapharmacie,,CANNES LA BOCCA,Provence-Alpes-Cote d'Azur,,FR,+33 4 92 19 47 80,https://e.leclerc/mag/e-leclerc-cannes-la-bocca,Mo-Sa 08:15-20:30; Su 08:15-13:00, E.Leclerc Parapharmacie,Q1273376
1806t008t1,e_leclerc,Station Service,,CANNES LA BOCCA,Provence-Alpes-Cote d'Azur,,FR,+33 4 92 19 47 80,,24/7,E.Leclerc,Q1273376
1806t011t1,e_leclerc,Voyages,,CANNES LA BOCCA,Provence-Alpes-Cote d'Azur,,FR,+33 4 92 19 91 36,https://e.leclerc/mag/e-leclerc-cannes-la-bocca,Mo-Sa 10:00-19:00,E.Leclerc,Q1273376
1806t101t1,e_leclerc,CANNES LA BOCCA,,CANNES LA BOCCA,Provence-Alpes-Cote d'Azur,,FR,+33 4 92 19 47 80,https://e.leclerc/mag/e-leclerc-cannes-la-bocca,Mo-Sa 08:15-20:30; Su 08:15-13:00,E.Leclerc,Q1273376
1806t117t1,e_leclerc,Location,,CANNES LA BOCCA,Provence-Alpes-Cote d'Azur,,FR,+33 4 92 19 47 80,,Mo-Sa 08:15-19:00,E.Leclerc Location,Q1273376
https://local.fedex.com/#1017429223,fedex,,,Cannes La Bocca,Provence-Alpes-Cote d'Azur,,FR,,https://local.fedex.com/en-fr/cannes-la-bocca/ncesh,,FedEx,Q459477
https://local.fedex.com/#1017429891,fedex,,,Cannes La Bocca,Provence-Alpes-Cote d'Azur,,FR,,https://local.fedex.com/en-fr/cannes-la-bocca/nceqm,,FedEx,Q459477
https://local.fedex.com/#1017443325,fedex,,,Cannes La Bocca,Provence-Alpes-Cote d'Azur,,FR,,https://local.fedex.com/en-fr/cannes-la-bocca/ncenu,,FedEx,Q459477
https://local.fedex.com/#1017429058,fedex,,,Cannes La Bocca,Provence-Alpes-Cote d'Azur,,FR,,https://local.fedex.com/en-fr/cannes-la-bocca/ncemv,,FedEx,Q459477
https://local.fedex.com/#1017452210,fedex,,,Cannes La Bocca,Provence-Alpes-Cote d'Azur,,FR,,https://local.fedex.com/en-fr/cannes-la-bocca/ncebs,,FedEx,Q459477
,visa,,,CANNES,PROVENCE-ALPES-COTE D'AZUR,,FR,,,,,
,visa,,,NICE,PROVENCE-ALPES-COTE D'AZUR,,FR,,,,,
b7ea4693d9636be48b3aaecfeb24e87b,western_union,CANNES LA BOCCA BP,,Cannes La Bocca,PROVENCE ALPES COTE D AZUR,,FR,(+33) 3631,https://location.westernunion.com/fr/provence-alpes-cote-d-azur/cannes-la-bocca/b7ea4693d9636be48b3aaecfeb24e87b,Mo-We 08:30-17:30; Th 09:30-17:30; Fr 08:30-17:30; Sa 09:00-12:30,Western Union,Q861042
cbfde2d29ac10288947548dc73fc92a0,western_union,CANNES RANGUIN BP,,Cannes La Bocca,PROVENCE ALPES COTE D AZUR,,FR,(+33) 3631,https://location.westernunion.com/fr/provence-alpes-cote-d-azur/cannes-la-bocca/cbfde2d29ac10288947548dc73fc92a0,Mo-We 09:00-17:30; Th 09:30-17:30; Fr 09:00-17:30; Sa 09:00-12:30,Western Union,Q861042
