Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
1080700045,banque_populaire_fr,SOCHAUX,,SOCHAUX,,,FR,+33 3 81 94 11 66,https://agences.banquepopulaire.fr/banque-assurance/agence-sochaux-id1080700045,"Tu-We 08:30-12:05,13:30-18:00; Th 08:30-12:05,14:30-18:00; Fr 08:30-12:05,13:30-18:00; Sa 08:30-12:20",Banque Populaire,Q846647
https://www.credit-agricole.fr/particulier/agence/franche-comte/sochaux-3619.html,credit_agricole,Crédit Agricole,,SOCHAUX,,,FR,+33 3 81 71 09 71,https://www.credit-agricole.fr/particulier/agence/franche-comte/sochaux-3619.html,"Tu-We 09:00-12:30,14:00-18:00; Th 09:00-12:30,15:30-18:30; Fr 09:00-12:30,14:00-18:00; Sa 08:30-12:30",Credit Agricole,Q590952
https://www.credit-agricole.fr/particulier/agence/franche-comte/sarl-la-boulangerie-de-vieux-charmont-7287.html,credit_agricole,Crédit Agricole,,Vieux-Charmont,,,FR,,https://www.credit-agricole.fr/particulier/agence/franche-comte/sarl-la-boulangerie-de-vieux-charmont-7287.html,"Tu 05:00-13:30,15:30-19:00",Credit Agricole,Q590952
https://www.credit-agricole.fr/particulier/agence/franche-comte/herkat-houdaifa-houdys-7248.html,credit_agricole,Crédit Agricole,,SOCHUAX,,,FR,+33 7 68 71 45 08,https://www.credit-agricole.fr/particulier/agence/franche-comte/herkat-houdaifa-houdys-7248.html,Mo 10:00-18:00,Credit Agricole,Q590952
https://bureaux.kpmg.fr/#location-315,kpmg_fr,KPMG Montbéliard,,Brognard,,,FR,+33 3 81 91 15 64,https://bureaux.kpmg.fr/fr/france-FR/315/kpmg-montbeliard/details,"Mo-Fr 08:30-12:00,13:30-17:00",KPMG,Q493751
NF980768,totalenergies,PETROLIER SANS-MARQUE,,VIEUX-CHARMONT,,,FR,,https://store.totalenergies.fr/en_EN/NF980768,,,
,visa,,,SOCHAUX,,,FR,,,,,
,visa,,,SOCHAUX,,,FR,,,,,
,visa,,,SOCHAUX,,,FR,,,,,
,visa,,,SOCHAUX,,,FR,,,,,
,visa,,,SOCHAUX,,,FR,,,,,
,visa,,,SOCHAUX,,,FR,,,,,
,visa,,,SOCHAUX,,,FR,,,,,
,visa,,,BELFORT,,,FR,,,,,
