Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
150,black_sheep_coffee,Black Sheep Coffee,,Horley,,,GB,+44 7916 172124,https://leavetheherdbehind.com/blogs/locations/gatwick-south-terminal,24/7,Black Sheep Coffee,Q109745011
2137,boots,Gatwick North Terminal after security,"North Terminal Departures, Gatwick, West Sussex, RH6 0NP",,,,GB,,https://www.boots.com/stores/2137-gatwick-north-terminal-airside-rh6-0np,Mo-Su 03:00-21:00,Boots,Q6123139
gatwick-south-village-landside,caffe_nero_gb,,"South Terminal, Gatwick Village, Gatwick Airport, West Sussex, RH6 0NP",,,,GB,+44 1293 568616,https://caffenero.com/uk/store/gatwick-south-village-landside/,24/7,Caffe Nero,Q675808
5338,church_of_england_gb,Airport Chaplaincy,"North and South Terminals, Gatwick, Crawley",,,,GB,,https://www.achurchnearyou.com/church/5338/,,,
https://www.fatface.com/store/gatwick%20-%20south%20terminal/70442,fatface,Gatwick - South Terminal,,Gatwick Airport,,,GB,+44 1293 567905,https://www.fatface.com/store/gatwick%20-%20south%20terminal/70442,Mo-Su 04:00-20:30,FATFACE,Q5437186
507,goldsmiths_gb,Tudor Showroom Gatwick (Sth),,West Sussex,,,GB,+44 1293 504807,https://www.goldsmiths.co.uk/store/507,Mo-Su 04:00-20:00,Goldsmiths,Q16993095
508,goldsmiths_gb,TAG Showroom Gatwick (Sth),,West Sussex,,,GB,,https://www.goldsmiths.co.uk/store/508,Mo-Su 04:00-20:00,Goldsmiths,Q16993095
500,goldsmiths_gb,WOS Gatwick,,West Sussex,,,GB,+44 1293 504340,https://www.goldsmiths.co.uk/store/500,Mo-Su 04:00-20:00,Goldsmiths,Q16993095
5541,greggs_gb,London Gatwick Airport,,Horley,,,GB,+44 1293 220247,https://www.greggs.co.uk/shop-finder?shop-code=5541,24/7,Greggs,Q3403981
3751,marks_and_spencer,GATWICK SOUTH AIRPORT SIMPLY FOOD,,Gatwick,,,GB,+44 1293 568558,https://www.marksandspencer.com/stores/gatwick-south-airport-simply-food-3751,Mo 00:00-21:00; Tu-Fr 09:00-21:00; Sa 09:00-24:00; Su 00:00-24:00,M&S Simply Food,Q714491
https://stores.superdry.com/#17290810,superdry,Superdry  Gatwick South,,Gatwick Horley,,,GB,+44 1293 557431,https://stores.superdry.com/gb/gatwick/unit-s201,Mo-Su 04:00-20:30,Superdry,Q1684445
,visa,,,GATWICK,,,GB,,,,,
,visa,,,GATWICK,,,GB,,,,,
https://wagamama.com/restaurants/horley/gatwick-south,wagamama_gb,Wagamama,"gatwick south international departure lounge, gatwick south terminal, horley, RH6 0NP",horley,,,GB,+44 1293 507314,https://wagamama.com/restaurants/horley/gatwick-south,,Wagamama,Q503715
https://wagamama.com/restaurants/horley/gatwick-north,wagamama_gb,Wagamama,"gatwick north international departure lounge, gatwick north terminal, horley, RH6 0NP",horley,,,GB,+44 1293 507300,https://wagamama.com/restaurants/horley/gatwick-north,,Wagamama,Q503715
