Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
1461,accor,ibis Portsmouth Centre,"Winston Churchill Avenue, PO12LX PORTSMOUTH",,,,GB,,https://all.accor.com/hotel/1461/index.en.shtml,,Ibis,Q920166
3140,accor,ibis Liverpool Centre Albert Dock - Liverpool One,"27 Wapping, L18LY LIVERPOOL",,,,GB,,https://all.accor.com/hotel/3140/index.en.shtml,,Ibis,Q920166
3159,accor,ibis Cardiff Gate - International Business Park,"Malthouse Avenue, Cardiff Gate Business Park, Pontprennau, CF238RA CARDIFF",,,,GB,,https://all.accor.com/hotel/3159/index.en.shtml,,Ibis,Q920166
3162,accor,ibis Preston North,"Ibis Preston North, Garstang Road, PR35JE PRESTON",,,,GB,,https://all.accor.com/hotel/3162/index.en.shtml,,Ibis,Q920166
3476,accor,Novotel London Greenwich,"173-185 Greenwich High Road, SE108JA LONDON",,,,GB,,https://all.accor.com/hotel/3476/index.en.shtml,,Novotel,Q420545
6175,accor,ibis budget Cardiff Centre,"Tyndall Street, CF104BE CARDIFF",,,,GB,,https://all.accor.com/hotel/6175/index.en.shtml,,Ibis Budget,Q1458135
6631,accor,Mercure Manchester Norton Grange Hotel & Spa,"Manchester Road, Castleton, OL11  2XZ ROCHDALE",,,,GB,,https://all.accor.com/hotel/6631/index.en.shtml,,Mercure,Q1709809
6995,accor,Novotel London Brentford,"Great West Road, TW80GP BRENTFORD",,,,GB,,https://all.accor.com/hotel/6995/index.en.shtml,,Novotel,Q420545
8548,accor,ibis Cambridge Central Station,"2 Station Square, CB12GA CAMBRIDGE",,,,GB,,https://all.accor.com/hotel/8548/index.en.shtml,,Ibis,Q920166
9227,accor,Pullman Liverpool,"Kings Dock, L34FP liverpool",,,,GB,,https://all.accor.com/hotel/9227/index.en.shtml,,Pullman,Q3410757
9475,accor,ibis Styles London Ealing,"32-38 Uxbridge Road, Ealing, Ealing, W52BS LONDON",,,,GB,,https://all.accor.com/hotel/9475/index.en.shtml,,Ibis Styles,Q3147425
9553,accor,ibis Styles Haydock,"4 Galway Crescent, Piele Road Haydock, WA110GR HAYDOCK",,,,GB,,https://all.accor.com/hotel/9553/index.en.shtml,,Ibis Styles,Q3147425
9554,accor,ibis Styles Barnsley,"Whinby Road, Dodworth, S753TX BARNSLEY",,,,GB,,https://all.accor.com/hotel/9554/index.en.shtml,,Ibis Styles,Q3147425
A099,accor,Mercure  Doncaster Centre Danum Hotel,"High Street, DN11DN DONCASTER",,,,GB,,https://all.accor.com/hotel/A099/index.en.shtml,,Mercure,Q1709809
A0H4,accor,Mercure Haydock Hotel,"Penny, LANE, WA119SG HAYDOCK",,,,GB,,https://all.accor.com/hotel/A0H4/index.en.shtml,,Mercure,Q1709809
A0H6,accor,Mercure Exeter Rougemont Hotel,"Queen Street, EX43SP EXETER",,,,GB,,https://all.accor.com/hotel/A0H6/index.en.shtml,,Mercure,Q1709809
A0H8,accor,Mercure Aberdeen Caledonian Hotel,"10 14 Union Terrace, AB101WE ABERDEEN",,,,GB,,https://all.accor.com/hotel/A0H8/index.en.shtml,,Mercure,Q1709809
A0I0,accor,Mercure Daventry Court Hotel,"Sedgemoor Way, NN110SG DAVENTRY",,,,GB,,https://all.accor.com/hotel/A0I0/index.en.shtml,,Mercure,Q1709809
B0I5,accor,Aparthotel Adagio London Whitechapel,"100 WHITECHAPEL ROAD, E11JG LONDON",,,,GB,,https://all.accor.com/hotel/B0I5/index.en.shtml,,Adagio,Q2823880
B1C5,accor,ibis Styles London Gloucester Road,"110 Cromwell Road, SW74ES LONDON",,,,GB,,https://all.accor.com/hotel/B1C5/index.en.shtml,,Ibis Styles,Q3147425
B2S3,accor,ibis Styles London Heathrow East,"366 Great West Road, TW50BD HOUNSLOW",,,,GB,,https://all.accor.com/hotel/B2S3/index.en.shtml,,Ibis Styles,Q3147425
B358,accor,ibis Styles Birmingham Oldbury,"999 Wolverhampton Road, B694RJ OLDBURY",,,,GB,,https://all.accor.com/hotel/B358/index.en.shtml,,Ibis Styles,Q3147425
B3G0,accor,Mercure Newport,"Chartist Tower, Upper Dock Street, NP201DW NEWPORT",,,,GB,,https://all.accor.com/hotel/B3G0/index.en.shtml,,Mercure,Q1709809
B3X3,accor,Mercure Newbury West Grange Hotel,"Coxs Lane, Bath Road, Midgham, RG75UP Newbury, BERKSHIRE",,,,GB,,https://all.accor.com/hotel/B3X3/index.en.shtml,,Mercure,Q1709809
B472,accor,Aparthotel Adagio Glasgow Central,"5 DIXON STREET, G14AL GLASGOW",,,,GB,,https://all.accor.com/hotel/B472/index.en.shtml,,Adagio,Q2823880
B4Y6,accor,Mercure Barnsley Tankersley Manor Hotel,"Church Lane, Tankerlsey, S753DQ BARNSLEY",,,,GB,,https://all.accor.com/hotel/B4Y6/index.en.shtml,,Mercure,Q1709809
B4Z1,accor,Mercure St Helens,"Linkway West, St Helens, Merseyside, WA101NG ST HELENS",,,,GB,,https://all.accor.com/hotel/B4Z1/index.en.shtml,,Mercure,Q1709809
B539,accor,Mercure Cardiff North Hotel,"Circle Way East, Llanedeyrn, CF239XF CARDIFF",,,,GB,,https://all.accor.com/hotel/B539/index.en.shtml,,Mercure,Q1709809
B540,accor,Mercure Nottingham Sherwood Hotel,"296 Mansfield Road, NG52BT NOTTINGHAM",,,,GB,,https://all.accor.com/hotel/B540/index.en.shtml,,Mercure,Q1709809
B5V6,accor,Aparthotel Adagio London Sutton Point,"8 Sutton Plaza, Sutton, SM14FS LONDON",,,,GB,,https://all.accor.com/hotel/B5V6/index.en.shtml,,Adagio,Q2823880
