City,Place Name,Zipcode,Name
Wa,western_union,,unknown,GHANA COMMERCIAL BANK WA
Lawra,western_union,,unknown,GHANA COMMERCIAL BANK LAWRA
Takoradi,western_union,,unknown,ABSA TAKORADI HIGH STREET BRANCH
Buipe,western_union,,unknown,ARB APEX BANK LTD
Damango,western_union,,unknown,GHANA COMMERCIAL BANK DAMONGO
Salaga,western_union,,unknown,GHANA COMMERCIAL BANK SALAGA
Tamale,western_union,,unknown,TIZAA RBL GUSHEGU AGENCY
Bimbilla,western_union,,unknown,GHANA COMMERCIAL BANK BIMBILLA
"Kaladan, Tamale",western_union,,unknown,AGRICULTURAL DEV BANK KALADA
Navrongo,western_union,,unknown,GHANA COMMERCIAL BANK NAVRONGO
Saboba,western_union,,unknown,GCB GHANA
Bolgatanga,western_union,,unknown,GHANA COMMERCIAL BANK BOLGATANGA
Yendi,western_union,,unknown,GHANA COMMERCIAL BANK YENDI
Bawku,western_union,,unknown,GHANA COMMERCIAL BANK BAWKU
