City,Place Name,Zipcode,Name
Kamsar,western_union,,unknown,ABF & FRERES KAMSAR
Conakry,western_union,,unknown,LPV CASH LAMBANYI STATION TMI
Coyah,western_union,,unknown,SOFIG SANOYAH
Siguiri,western_union,,unknown,BPMG AMIFA SIGUIRI
Kindia,western_union,,unknown,BPMG KINDIA
Kankan,western_union,,unknown,BPMG AMIFA KANKAN
Labe,western_union,,unknown,BPMG AMIFA LABE
Kissidougou,western_union,,unknown,BPMG AMIFA KISSIDOUGOU
Mamou,western_union,,unknown,BPMG AMIFA MAMOU
Nzerekore,western_union,,unknown,BPMG NZEREKORE
