Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
7121,accor,ibis Malabo,"MALABO II, Malabo 2, Isla de Bioko, BP 202 MALABO",,,,GQ,,https://all.accor.com/hotel/7121/index.en.shtml,,Ibis,Q920166
7122,accor,ibis Bata,"Paseo Maritimo, 0000 BATA",,,,GQ,,https://all.accor.com/hotel/7122/index.en.shtml,,Ibis,Q920166
8212,accor,Sofitel Malabo Sipopo Le Golf,"Zona Sipopo, P.O. Box 209, 00209 MALABO",,,,GQ,,https://all.accor.com/hotel/8212/index.en.shtml,,Sofitel,Q749431
68330194,moneygram,CCEI BANK GE - #4 - BATA,,BATA,,,GQ,+240 333 082 515,,Mo-Fr 07:30-15:00; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
68330259,moneygram,MALABO ELA-NGUEMA - #2 - MALABO - MALABO,,MALABO,,,GQ,+240 333 092 910,,Mo-Fr 07:30-15:00; Sa 10:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
68330262,moneygram,CCEI BANK GE - #3 - BATA,,BATA,,,GQ,+240 333 096 478,,Mo-Fr 07:30-15:00; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
72046979,moneygram,AGENCIA DJIBLOHO - OYALA,,OYALA,,,GQ,+240 333 099 563,,Mo-Fr 07:30-15:30; Sa-Su 00:00-24:00,MoneyGram,Q1944412
70114007,moneygram,BANGE - BANCA PRIVADA,,MALABO,,,GQ,+240 333 099 576,,Mo-Fr 07:00-15:30; Sa 09:00-14:30; Su 00:00-24:00,MoneyGram,Q1944412
72883857,moneygram,BANGE - #15 - MALABO - TESORERIA MALABO,,MALABO,,,GQ,+240 551 980 174,,Mo-Fr 07:00-15:30; Sa 09:00-14:30; Su 00:00-24:00,MoneyGram,Q1944412
72883831,moneygram,BANGE - #28 - BANEY - BANEY,,BANEY,,,GQ,+240 222 208 265,,Mo-Fr 07:00-15:30; Sa 09:00-14:30; Su 00:00-24:00,MoneyGram,Q1944412
72883844,moneygram,BANGE - #29 - BATA - BANCA PRIVADA BATA,,BATA,,,GQ,+240 222 563 707,,Mo-Fr 07:00-15:30; Sa 09:00-14:30; Su 00:00-24:00,MoneyGram,Q1944412
73513692,moneygram,BANGE 30-RIABA - #S/N - RIABA - BANGE,,RIABA,,,GQ,+240 333 099 576,,Mo-Fr 07:30-14:30; Sa 09:30-13:30; Su 00:00-24:00,MoneyGram,Q1944412
70113529,moneygram,BANGE - HASSAN II,,MALABO,,,GQ,+240 333 099 576,,Mo-Fr 07:00-15:30; Sa 09:00-14:30; Su 00:00-24:00,MoneyGram,Q1944412
70113558,moneygram,BANGE,,EVINAYONG,,,GQ,666695884,,Mo-Fr 07:00-15:30; Sa 09:00-14:30; Su 00:00-24:00,MoneyGram,Q1944412
70113972,moneygram,BANGE - ABAYAK,,BATA,,,GQ,+240 333 081 979,,Mo-Fr 07:00-15:30; Sa 09:00-14:30; Su 00:00-24:00,MoneyGram,Q1944412
70113985,moneygram,BANGE,,LUBA,,,GQ,+240 333 099 572,,Mo-Fr 07:00-15:30; Sa 09:00-14:30; Su 00:00-24:00,MoneyGram,Q1944412
70113998,moneygram,BANGE,,BATA,,,GQ,666163405,,Mo-Fr 07:00-15:30; Sa 09:00-14:30; Su 00:00-24:00,MoneyGram,Q1944412
70114010,moneygram,BANGE - #14 - BIKATANA,,MALABO,,,GQ,+240 222 276 488,,Mo-Fr 07:00-15:30; Sa 09:00-14:30; Su 00:00-24:00,MoneyGram,Q1944412
70113545,moneygram,BANGE,,EBIBEYIN,,,GQ,666695835,,Mo-Fr 07:00-15:30; Sa 09:00-14:30; Su 00:00-24:00,MoneyGram,Q1944412
70113532,moneygram,BANGE,,MALABO,,,GQ,+240 222 206 598,,Mo-Fr 07:00-15:30; Sa 09:00-14:30; Su 00:00-24:00,MoneyGram,Q1944412
70106248,moneygram,BANGE - #1 - MALABO - MALABO SEDE,,MALABO,,,GQ,+240 333 099 571,,Mo-Fr 07:00-15:30; Sa 09:00-14:30; Su 00:00-24:00,MoneyGram,Q1944412
70184752,moneygram,BANGE - #13 - BATA,,BATA,,,GQ,+240 333 099 571,,Mo-Fr 07:00-15:30; Sa 09:00-14:30; Su 00:00-24:00,MoneyGram,Q1944412
74416280,moneygram,BANGE 31-PUERTO BATA - BATA - BANGE,,BATA,,,GQ,+240 222 287 202,,Mo-Fr 08:00-14:30; Sa 10:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
