Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
G092,bp,SIMIANAKIS N. MARKOS,,IALISSOS,,,GR,+30 2241 092356,,Mo-Su 07:00-21:00,BP,Q152057
Q594,bp,SIMIANAKIS N. MARKOS,,IALISSOS,,,GR,+30 2241 090210,,Mo-Su 07:00-21:00,BP,Q152057
RHOC61,enterprise,Rhodes Ialyssos,,Lalyssos,,,GR,+30 2241 093996,,,Enterprise Rent-A-Car,Q17085454
https://www.sixt.co.uk/car-hire/greece/rhodes/rhodes-port/,sixt,Car Hire Rhodes Port | SIXT rent a car,,Rhodes,,,GR,,https://www.sixt.co.uk/car-hire/greece/rhodes/rhodes-port/,Mo-Fr 11:00-14:00,SIXT,Q705664
,visa,,,LEFKADA,,,GR,,,,,
,visa,,,IALYSSOS,,,GR,,,,,
,visa,,,KOLYMBIA,,,GR,,,,,
,visa,,,RHODES,,,GR,,,,,
,visa,,,IALYSSOS,,,GR,,,,,
,visa,,,NIDRI,,,GR,,,,,
,visa,,,IALYSSOS,,,GR,,,,,
,visa,,,RHODES,,,GR,,,,,
,visa,,,RHODES,,,GR,,,,,
,visa,,,IALYSSOS,,,GR,,,,,
,visa,,,IALYSSOS,,,GR,,,,,
,visa,,,RHODES,,,GR,,,,,
,visa,,,IALYSSOS,,,GR,,,,,
,visa,,,IALYSSOS,,,GR,,,,,
,visa,,,IALYSSOS,,,GR,,,,,
,visa,,,IALYSSOS,,,GR,,,,,
,visa,,,IALYSSOS,,,GR,,,,,
,visa,,,IXIA,,,GR,,,,,
,visa,,,IALYSSOS,,,GR,,,,,
,visa,,,IALYSSOS,,,GR,,,,,
,visa,,,IALYSSOS,,,GR,,,,,
,visa,,,IALYSSOS,,,GR,,,,,
,visa,,,KALLITHEA,,,GR,,,,,
,visa,,,IALYSSOS,,,GR,,,,,
