City,Place Name,Zipcode,Name
SAN FRANCISCO EL ALTO,shell,,unknown,SHELL ARLETH SAN FRANCISCO
TOTONICAPAN,shell,,unknown,SHELL ALTIPLANO
SAN CRISTOBAL,shell,,unknown,SHELL CUATRO CAMINOS
TOTONICAPAN,visa,,unknown,unknown
MOMOSTENANGO,visa,,unknown,unknown
SAN FRANCISCO EL ALTO,visa,,unknown,unknown
SAN CRISTOBAL TOTONICAPAN,visa,,unknown,unknown
San Francisco El Alto,western_union,,unknown,TEXTILES CANAAN
San Andres Xecul,western_union,,unknown,MULTIPRODUCTOS CHAJABAL
Momostenango,western_union,,unknown,TIENDA ASHLEY
Totonicapan,western_union,,unknown,TRABAJADORES TOTONICAPAN
San Cristobal Totonicapan,western_union,,unknown,JIREH INTERNET
Santa Maria Chiquimula,western_union,,unknown,CYBER JAH
San Bartolo,western_union,,unknown,TIENDA EMANUEL SAN BARTOLO
San Bartolo Aguas Calientes,western_union,,unknown,BISA TIENDA Y MINI ABARROTERIA AJANEL
Aldea La Esperanza,western_union,,unknown,MICOOPE COLUA LA ESPERANZA TOTO 6
Santa Lucia La Reforma,western_union,,unknown,IPERTIENDA EL AMIGO
La Reforma,western_union,,unknown,LIBRERIA SANTEL
