Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
72783601,moneygram,BANCO AGROMERCANTIL - SAN CRISTOBAL VERA,,SAN CRISTOBAL VERAPAZ,,,GT,+502 7950 4964,,Mo-Fr 09:00-17:00; Sa 09:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
72823862,moneygram,BANRURAL - #59 - SAN CRISTOBAL VERAPAZ -,,SAN CRISTOBAL VERAPAZ,,,GT,+502 2271 9600,,Mo-Su 07:00-23:00,MoneyGram,Q1944412
73197526,moneygram,AGENCIAS WAY SAN CRISTOBAL - #13204,,SAN CRISTOBAL VERAPAZ,,,GT,+502 7950 4047,,Mo-Su 07:00-18:00,MoneyGram,Q1944412
73247133,moneygram,RED.CEL INTERNET - SAN CRISTOBAL VERAPAZ,,SAN CRISTOBAL VERAPAZ,,,GT,+502 2338 6565,,Mo-Su 09:00-17:00,MoneyGram,Q1944412
73614371,moneygram,INFORNET DEL NORTE,,SAN CRISTOBAL VERAPAZ,,,GT,+502 2338 6565,,Mo-Su 09:00-17:00,MoneyGram,Q1944412
74193668,moneygram,ACCESORIOS CALEL 1 - #004377-001,,SAN CRISTOBAL VERAPAZ,,,GT,+502 5307 6705,,Mo-Su 07:00-20:00,MoneyGram,Q1944412
74207897,moneygram,PUBLICARTE - PUBLICARTE,,SAN CRISTOBAL VERAPAZ,,,GT,+502 2338 6565,,Mo-Su 09:00-17:00,MoneyGram,Q1944412
74341643,moneygram,SUPER TIENDA K&M - #004989-001,,SAN CRISTOBAL VERAPAZ,,,GT,+502 2411 6626,,Mo-Su 07:00-20:00,MoneyGram,Q1944412
70439122,moneygram,FARMACIAS CRUZ VERDE,,SAN CRISTOBAL VERAPAZ,,,GT,+502 7950 4287,,Mo-Sa 07:00-22:00; Su 07:00-19:00,MoneyGram,Q1944412
74873904,moneygram,MULTISERVICIOS KYROS - #006434-001,,SAN CRISTOBAL VERAPAZ,,,GT,+502 2411 6626,,Mo-Fr 08:00-17:00; Sa 08:00-12:00; Su 00:00-24:00,MoneyGram,Q1944412
67005035,moneygram,BANCO AZTECA - CRISTOBAL VERAPAZ SAN,,CRISTOBAL VERAPAZ SAN,,,GT,+502 4740 6712,,Mo-Su 06:00-22:00,MoneyGram,Q1944412
43607295,moneygram,MICOOPE COOPSAMA,,SAN CRISTOBAL VERAPAZ,,,GT,+502 7950 4053,,Mo-Fr 07:00-18:00; Sa 07:00-13:00; Su 00:00-24:00,MoneyGram,Q1944412
70452879,moneygram,DESPENSA FAMILIAR SAN CRISTOBAL VERAPAZ,,SAN CRISTOBAL VERAPAZ,,,GT,+502 2485 9650,,Mo-Su 06:00-21:00,MoneyGram,Q1944412
