Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
,visa,,,ROVINJSKO SELO,ISTARSKA,,HR,,,,,
,visa,,,ROVINJ,ISTARSKA,,HR,,,,,
,visa,,,ROVINJ,ISTARSKA,,HR,,,,,
,visa,,,ROVINJ,ISTARSKA,,HR,,,,,
,visa,,,ROVINJ,ISTARSKA,,HR,,,,,
,visa,,,ROVINJ,ISTARSKA,,HR,,,,,
,visa,,,ROVINJ,ISTARSKA,,HR,,,,,
,visa,,,ROVINJ,ISTARSKA,,HR,,,,,
,visa,,,ROVINJ,ISTARSKA,,HR,,,,,
,visa,,,ROVINJ,ISTARSKA,,HR,,,,,
,visa,,,ROVINJ,ISTARSKA,,HR,,,,,
,visa,,,ROVINJ,ISTARSKA,,HR,,,,,
,visa,,,ROVINJ,ISTARSKA,,HR,,,,,
bd93af33142a02439335613baa1d9d3e,western_union,MJENJACNICA MATRIX,,Rovinj,ISTARSKA,,HR,+385 98 446 761,https://location.westernunion.com/hr/istarska/rovinj/bd93af33142a02439335613baa1d9d3e,Mo-Fr 06:00-20:00; Sa-Su 07:00-14:00,Western Union,Q861042
281955c81739187aa1016c7edacef841,western_union,HRVATSKA POSTA,,Rovinj,ISTARSKA,,HR,+385 1 4839 166,https://location.westernunion.com/hr/istarska/rovinj/281955c81739187aa1016c7edacef841,Mo-Fr 08:00-19:00; Sa 08:00-12:00,Western Union,Q861042
f84a79d775777560fbd50314f7615a25,western_union,SEKA,,Rovinj,ISTARSKA,,HR,+385 52 811 241,https://location.westernunion.com/hr/istarska/rovinj/f84a79d775777560fbd50314f7615a25,Mo-Sa 08:00-20:00; Su 08:00-16:00,Western Union,Q861042
bd0d544074421ad85fe6c431fa36ba39,western_union,FINA ROVINJ,,Rovinj,ISTARSKA,,HR,+385 800 00 80,https://location.westernunion.com/hr/istarska/rovinj/bd0d544074421ad85fe6c431fa36ba39,Mo-Fr 07:30-14:30; Sa 08:00-12:00,Western Union,Q861042
