Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
HR0874,c_and_a,Pozega Supernova,"Zagrebacka 52, 34000 Pozega",Pozega,,,HR,,https://www.c-and-a.com/stores/hr-hr/pozega-slavonia/pozega/zagrebacka-52.html,Mo 09:00-21:00; Tu 09:00-21:00; We 09:00-21:00; Th 09:00-21:00; Fr 09:00-21:00; Sa 09:00-21:00; Su 09:00-19:00,C&A,Q701338
hr:166,dm,dm-drogerie markt d.o.o.,,POŽEGA,,,HR,+385 1 3626 166,https://www.dm.hr/store/k06m/pozega/mesnicka-5,Mo-Sa 08:00-20:00,dm,Q266572
hr:212,dm,dm-drogerie markt d.o.o.,,POŽEGA,,,HR,+385 1 3626 212,https://www.dm.hr/store/k08k/pozega/zagrebacka-52,Mo-Sa 09:00-21:00,dm,Q266572
V630,jysk,Požega,,Požega,,,HR,+385 1 4440 055,https://jysk.hr/trgovine?storeId=V630,Mo-Sa 09:00-20:00,JYSK,Q138913
HR2730,kaufland,Kaufland Pozega,,Požega,,,HR,+385 800 223 223,https://www.kaufland.hr/usluge/poslovnica/pozega-2730.html,Mo-Sa 07:00-21:00,Kaufland,Q685967
4802,kik,KiK,,Pozega,,,HR,+385 34 291 149,,Mo-Sa 08:00-20:00,KiK,Q883965
3235,konzum_hr,Konzum,"Kamenita vrata 4, 34000 Požega",Požega,,,HR,+385 800 400 000,,Mo-Sa 07:00-21:00,Konzum,Q518563
3233,konzum_hr,Konzum,"Trg Svetog Trojstva 22, 34000 Požega",Požega,,,HR,+385 800 400 000,,Mo-Sa 06:30-20:00,Konzum,Q518563
3239,konzum_hr,Konzum,"Svetog Roka 10A, 34000 Požega",Požega,,,HR,+385 800 400 000,,Mo-Sa 07:00-20:00,Konzum,Q518563
165,lidl_hr,Lidl,,Požega,,,HR,,,,Lidl,Q151954
5ee73b47c50437a31a6d47d3,newyorker,NEW YORKER | Supernova,"Nova Gradiska, 34000 Pozega",Pozega,,,HR,+385 99 534 2331,,Mo-Sa 09:00-21:00; Su 09:00-19:00,New Yorker,Q706421
3b71b283-2bfd-478e-b8bb-2284c1c8b8a7,petrol,"PM POŽEGA, INDUSTRIJSKA",,POŽEGA,,,HR,,,Mo-Sa 06:00-22:00; Su 08:00-22:00,Crodux,Q62274622
70b28888-29a0-47f1-b0e8-bafba8823286,petrol,"PM POŽEGA, OSJEČKA 64F",,POŽEGA,,,HR,,,Mo-Su 05:00-24:00,Petrol,Q174824
c34487cb-0ab3-4dad-9fda-3f97cb7daffe,petrol,"PM POŽEGA, OSJEČKA 70",,POŽEGA,,,HR,,,Mo-Sa 06:00-20:00; Su 08:00-20:00,Crodux,Q62274622
57,plodine_hr,Plodine,,Požega,,,HR,,,Mo-Sa 07:00-21:00,Plodine,Q58040098
19150103_001-renault,renault,AUTODOM-VIDAKOVIĆ d.o.o.,,POŽEGA,,,HR,+385 34 271 962,,,Renault,Q6686
,visa,,,POZEGA,,,HR,,,,,
,visa,,,POZEGA,,,HR,,,,,
,visa,,,POZEGA,,,HR,,,,,
,visa,,,POZEGA,,,HR,,,,,
,visa,,,POZEGA,,,HR,,,,,
,visa,,,POZEGA,,,HR,,,,,
,visa,,,POZEGA,,,HR,,,,,
,visa,,,POZEGA,,,HR,,,,,
,visa,,,POZEGA,,,HR,,,,,
,visa,,,POZEGA,,,HR,,,,,
,visa,,,POZEGA,,,HR,,,,,
