City,Place Name,Zipcode,Name
Szeged,audi,Sárosi utca 11. 6724 Szeged,unknown,Porsche Szeged
Szeged,kfc_amrest,,unknown,KFC Szeged Kárász utca
Hódmezővásárhely,kfc_amrest,,unknown,KFC Hódmezővásárhely DT
unknown,lukoil,DN6 km 637+700 Cenad Timis Romania,unknown,SDC Cenad
unknown,pepco,,unknown,Pepco
Szeged,pizza_hut_amrest,,unknown,Pizza Hut Szeged Árkád
MAKÓ,shell,,unknown,MAKÓ II 572
HÓDMEZŐVÁSÁRHELY,shell,,unknown,HÓDMEZŐV. II 559
HODMEZOVOSORHELY,shell,,unknown,EV TESCO HODMEZOVASARHELY
SZEGED,shell,,unknown,SZEGED IV.
SZENTES,shell,,unknown,SZENTES
Szeged,starbucks_eu,Karasz utca 5 6720 Szeged,unknown,"Szeged, Karasz"
Szeged,starbucks_eu,Szeged Londoni krt 3 6724 Szeged,unknown,Szeged Arkad
SZEGED,visa,,unknown,unknown
MAKO,visa,,unknown,unknown
KISTELEK,visa,,unknown,unknown
CSANADPALOTA,visa,,unknown,unknown
HODMEZOVASARHELY,visa,,unknown,unknown
SZENTES,visa,,unknown,unknown
