Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
BIA-41,aldi_sud_hu,ALDI,"Terstyánszky Ödön u. 128., Solymár, 2083",Solymár,,,HU,+36 80 088 264,,Mo-Sa 07:00-21:00; Su 07:00-19:00,ALDI,Q41171672
hu:206,dm,dm drogerie markt Kft.,,Solymár,,,HU,+36 30 304 7943,https://www.dm.hu/store/u08e/solymar/tersztyanszky-ut-100,Mo-Fr 08:00-19:00; Sa 08:00-17:00; Su 09:00-15:00,dm,Q266572
FordHGHG030  HUN,ford,Solymár-Szalay Solymár,,Solymár,,,HU,+36 26 560 910,https://www.fordsolymar.hu/,,Ford,Q44294
H892,jysk,Solymár,,Solymár,,,HU,,https://jysk.hu/aruhazak?storeId=H892,Mo-Fr 09:00-19:00; Sa 09:00-18:00; Su 09:00-15:00,JYSK,Q138913
342,lidl_hu,Lidl,,Solymár,,,HU,,,Mo-Tu 06:30-21:00; Th-Fr 06:30-21:00; Sa 07:00-19:00,Lidl,Q151954
,visa,,,SOLYMAR,,,HU,,,,,
,visa,,,SOLYMAR,,,HU,,,,,
,visa,,,SOLYMAR,,,HU,,,,,
,visa,,,SOLYMAR,,,HU,,,,,
O6455,yettel_hu,Yettel Solymár Auchan,,Solymár,,,HU,+36 20 340 2130,,Mo-Sa 09:00-20:00; Su 10:00-18:00,Yettel,Q268578
