Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
4e59f1976e4a91787220f9b33e01f4f2,western_union,PT POS KPC PERBAUNGAN,,Serdang Bedagai,SUMATERA UTARA,,ID,+62 61 7991749,https://location.westernunion.com/id/sumatera-utara/serdang-bedagai/4e59f1976e4a91787220f9b33e01f4f2,Mo-Fr 09:00-15:00; Sa 09:00-12:00,Western Union,Q861042
c8c81b3bee70cc4067353da2d6bc7f47,western_union,PT POS KPC SERBALAWAN,,Pematangsiantar,SUMATERA UTARA,,ID,+62 622 23213,https://location.westernunion.com/id/sumatera-utara/pematangsiantar/c8c81b3bee70cc4067353da2d6bc7f47,Mo-Fr 09:00-15:00; Sa 09:00-12:00,Western Union,Q861042
10ff8188a55468d8a77d89b2c8725179,western_union,BRI KC PEMATANGSIANTAR,,Pematangsiantar,SUMATERA UTARA,,ID,+62 1 500 017,https://location.westernunion.com/id/sumatera-utara/pematangsiantar/10ff8188a55468d8a77d89b2c8725179,Mo-Fr 08:00-15:00,Western Union,Q861042
afac02c4c6bc861e9cb24a534920c85b,western_union,PT POS KPC PEMATANGSIANTAR MARTOBA,,Pematangsiantar,SUMATERA UTARA,,ID,+62 21 3511523,https://location.westernunion.com/id/sumatera-utara/pematangsiantar/afac02c4c6bc861e9cb24a534920c85b,Mo-Fr 09:00-15:00; Sa 09:00-12:00,Western Union,Q861042
fd78efea67726a566ccf941013356000,western_union,PT POS KPC SITAHUIS,,Tapanuli Tengah,SUMATERA UTARA,,ID,+62 21 3511523,https://location.westernunion.com/id/sumatera-utara/tapanuli-tengah/fd78efea67726a566ccf941013356000,Mo-Fr 09:00-15:00; Sa 09:00-12:00,Western Union,Q861042
fded3b327eacbc55799d112dd0c6f9d9,western_union,PT POS KPC BERINGINDELISERDANG,,Tebing Tinggi,SUMATERA UTARA,,ID,+62 621 21131,https://location.westernunion.com/id/sumatera-utara/tebing-tinggi/fded3b327eacbc55799d112dd0c6f9d9,Mo-Fr 09:00-15:00; Sa 09:00-12:00,Western Union,Q861042
ed7c0e2434fe6d50d05811c7257f28ed,western_union,PT POS KPC PARAPAT,,Pematangsiantar,SUMATERA UTARA,,ID,+62 625 41488,https://location.westernunion.com/id/sumatera-utara/pematangsiantar/ed7c0e2434fe6d50d05811c7257f28ed,Mo-Fr 09:00-15:00; Sa 09:00-12:00,Western Union,Q861042
1f0c472f2d8d3afd8a6cdd0f0e5b7a45,western_union,PT POS KPC SIPISPIS,,Tebing Tinggi,SUMATERA UTARA,,ID,+62 621 21131,https://location.westernunion.com/id/sumatera-utara/tebing-tinggi/1f0c472f2d8d3afd8a6cdd0f0e5b7a45,Mo-Fr 09:00-15:00; Sa 09:00-12:00,Western Union,Q861042
7c8326710eea34f545355b7885e0debf,western_union,PT POS KPC PARMONANGAN,,Medan,SUMATERA UTARA,,ID,+62 633 20470,https://location.westernunion.com/id/sumatera-utara/medan/7c8326710eea34f545355b7885e0debf,Mo-Fr 09:00-15:00; Sa 09:00-12:00,Western Union,Q861042
138504a0a4fc524ccddf956a451e146a,western_union,PT POS KPC PANGARIBUAN,,Medan,SUMATERA UTARA,,ID,+62 633 20470,https://location.westernunion.com/id/sumatera-utara/medan/138504a0a4fc524ccddf956a451e146a,Mo-Fr 09:00-15:00; Sa 09:00-12:00,Western Union,Q861042
