Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
178,supervalu_ie,SuperValu,,Ballaghaderreen,Co Roscommon,,IE,+353 94 986 2355,,,SuperValu,Q7642081
151,supervalu_ie,SuperValu,,Boyle,Co Roscommon,,IE,+353 71 966 2452,,,SuperValu,Q7642081
133,supervalu_ie,SuperValu,,Castlerea,Co Roscommon,,IE,+353 94 962 0003,,,SuperValu,Q7642081
53,supervalu_ie,SuperValu,,Athlone,Co Roscommon,,IE,+353 90 649 0022,,,SuperValu,Q7642081
32,supervalu_ie,SuperValu,,Roscommon,Co Roscommon,,IE,+353 90 662 6196,,,SuperValu,Q7642081
1150,supervalu_ie,SuperValu,,Strokestown,Co Roscommon,,IE,+353 71 963 3442,,,SuperValu,Q7642081
,visa,,,ROSCOMMON,CO. ROSCOMMON,,IE,,,,,
,visa,,,ROSCOMMON,CO. ROSCOMMON,,IE,,,,,
,visa,,,BALLAGHADERREEN,CO. ROSCOMMON,,IE,,,,,
,visa,,,ROSCOMMON,CO ROSCOMMON,,IE,,,,,
,visa,,,STROKESTOWN,CO. ROSCOMMON,,IE,,,,,
,visa,,,STROKESTOWN,CO ROSCOMMON,,IE,,,,,
,visa,,,CASTLEREA,CO. ROSCOMMON,,IE,,,,,
,visa,,,ELPHIN,CO. ROSCOMMON,,IE,,,,,
,visa,,,BALLAGHADERREEN,CO ROSCOMMON,,IE,,,,,
,visa,,,BOYLE,CO. ROSCOMMON,,IE,,,,,
,visa,,,BOYLE,CO ROSCOMMON,,IE,,,,,
