Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://www.dominos.co.in/store-locations/ahmedabad/alfa-square-mall-ahmedabad-gujarat,dominos_pizza_in,Dominos Pizza ALFA SQUARE MALL AHMEDABAD GUJARAT,Ground Floor Shop No 5 and 6 PartF.P. No.21 Survey No 229 2 O.P. No 21 T P-74 Near Satyamev Hospital TA Daskroi Chandkhada District Ahmedabad Gujarat,Ahmedabad,Gujarat,,IN,+91 22 2632 6699,https://www.dominos.co.in/store-locations/ahmedabad/alfa-square-mall-ahmedabad-gujarat,,Domino's Pizza,Q839466
12692556,shell,CHANDKHEDA,,AHMEDABAD,Gujarat,,IN,+91 99099 19910,https://find.shell.com/in/fuel/12692556-chandkheda,24/7,Shell,Q110716465
98eb02bf7ace08004c42f832ecf8f4b9,western_union,MUTHOOT FINCORP LIMITED,,Ahmedabad,GUJARAT,,IN,+91 79 2397 2499,https://location.westernunion.com/in/gujarat/ahmedabad/98eb02bf7ace08004c42f832ecf8f4b9,Mo-Sa 08:00-20:00; Su 09:00-18:00,Western Union,Q861042
656fcddaf927ec41bb498dd97c0e75b1,western_union,ZAVERAT,,Ahmedabad,GUJARAT,,IN,+91 90162 11409,https://location.westernunion.com/in/gujarat/ahmedabad/656fcddaf927ec41bb498dd97c0e75b1,Mo-Su 07:00-23:00,Western Union,Q861042
fa702df40f389400b2b58a3fd2e1c309,western_union,RAJ JEWELLERS,,Ahmedabad,GUJARAT,,IN,+91 79 2750 5957,https://location.westernunion.com/in/gujarat/ahmedabad/fa702df40f389400b2b58a3fd2e1c309,Mo-Sa 09:30-18:00,Western Union,Q861042
a19c54c11be2911903f25455ccd75ef3,western_union,SHREE TIRUPATI BALAJI JEWELLERS,,Ahmedabad,GUJARAT,,IN,+91 93769 66400,https://location.westernunion.com/in/gujarat/ahmedabad/a19c54c11be2911903f25455ccd75ef3,Mo-Su 07:00-22:00,Western Union,Q861042
9a6766d6e78b652614a18a184ff16234,western_union,PERFECT MONEY TRANSFER,,Ahmedabad,GUJARAT,,IN,+91 97270 50050,https://location.westernunion.com/in/gujarat/ahmedabad/9a6766d6e78b652614a18a184ff16234,Mo-Su 09:00-23:00,Western Union,Q861042
e77dc9b0ba2e36d5efa1c0e75a1a028c,western_union,AFS EDUCATION,,Ahmedabad,GUJARAT,,IN,+91 99043 11199,https://location.westernunion.com/in/gujarat/ahmedabad/e77dc9b0ba2e36d5efa1c0e75a1a028c,Mo-Su 07:00-22:00,Western Union,Q861042
66badb949b5e084147cfb697a7a422b0,western_union,MUTHOOT FINANCE LTD,,Ahmedabad -new C G Road,GUJARAT,,IN,+91 79 4019 4960,https://location.westernunion.com/in/gujarat/ahmedabad--new-c-g-road/66badb949b5e084147cfb697a7a422b0,Mo-Sa 09:00-17:30,Western Union,Q861042
38ed037cb3abb5fc69c435ad249a6e04,western_union,M P FOREX,,Ahmedabad,GUJARAT,,IN,+91 88664 37890,https://location.westernunion.com/in/gujarat/ahmedabad/38ed037cb3abb5fc69c435ad249a6e04,Mo-Su 07:00-22:00,Western Union,Q861042
932371fe002692e6b3a6878d7456d93f,western_union,SAHAJANAND WORLD TRAVELS,,Ahmedabad,GUJARAT,,IN,+91 79 4024 5555,https://location.westernunion.com/in/gujarat/ahmedabad/932371fe002692e6b3a6878d7456d93f,Mo-Su 08:00-22:00,Western Union,Q861042
62d7c9dfa09b3369d90139c58a8831cb,western_union,SHREEJI KRUPA,,Nadiad,GUJARAT,,IN,(+91) 982582548,https://location.westernunion.com/in/gujarat/nadiad/62d7c9dfa09b3369d90139c58a8831cb,Mo-Su 09:00-20:00,Western Union,Q861042
