Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
2yHV5ulgQJ8mvzptLbsWdG,brewdog,Gurugram,"T1-104 Plaza Level, One Horizon centre, DLF Phase 5, Gurugram, Haryana 122022, India",Gurgaon,Haryana,,IN,+91 77387 56358,,Mo-Su 12:00-02:00,BrewDog,Q911367
https://www.dominos.co.in/store-locations/gurgaon/worldmark-gurgaon-haryana,dominos_pizza_in,Dominos Pizza WORLDMARK GURGAON HARYANA,FC 02 First Floor Bharti Worldmark Village Maidawas Sector 65 GURGAON Haryana 122001,Gurgaon,Haryana,,IN,+91 22 2632 6699,https://www.dominos.co.in/store-locations/gurgaon/worldmark-gurgaon-haryana,,Domino's Pizza,Q839466
https://www.dominos.co.in/store-locations/gurgaon/suncity-business-tower-golf-course-road,dominos_pizza_in,Dominos Pizza SUNCITY BUSINESS TOWER GOLF COURSE ROAD,Shop No GF 01 Suncity Business Tower Sector 54 Golf Course Road Gurgaon 122002 Haryana 11244388704,Gurgaon,Haryana,,IN,+91 22 2632 6699,https://www.dominos.co.in/store-locations/gurgaon/suncity-business-tower-golf-course-road,,Domino's Pizza,Q839466
https://www.dominos.co.in/store-locations/gurgaon/sector-5-gurgaon-haryana,dominos_pizza_in,Dominos Pizza SECTOR 5 GURGAON HARYANA,First Floor SCO No 48 49 Huda Market Sector 5 Gurugram 122001 Haryana,Gurgaon,Haryana,,IN,+91 22 2632 6699,https://www.dominos.co.in/store-locations/gurgaon/sector-5-gurgaon-haryana,,Domino's Pizza,Q839466
https://www.dominos.co.in/store-locations/panchkula/sector-14-panchkula-haryana,dominos_pizza_in,Dominos Pizza SECTOR 14 PANCHKULA HARYANA,Ground Floor SCO 204 Sector 14 Panchkula Haryana 134113,Panchkula,Haryana,,IN,+91 22 2632 6699,https://www.dominos.co.in/store-locations/panchkula/sector-14-panchkula-haryana,,Domino's Pizza,Q839466
https://www.dominos.co.in/store-locations/gurgaon/reach-airia-mall-gurgaon-haryana,dominos_pizza_in,Dominos Pizza REACH AIRIA MALL GURGAON HARYANA,Unit No SF 13 Second Floor Reach Airia Mall Village Badshahpur Gurgaon 122102 Haryana,Gurgaon,Haryana,,IN,+91 22 2632 6699,https://www.dominos.co.in/store-locations/gurgaon/reach-airia-mall-gurgaon-haryana,,Domino's Pizza,Q839466
https://www.dominos.co.in/store-locations/gurgaon/reach-3-roads-sector-70-gurgaon-haryana,dominos_pizza_in,Dominos Pizza REACH 3 ROADS SECTOR 70 GURGAON HARYANA,Ground Floor Unit No GF MZ 29 and Part B of Unit No GF MZ 28 Reach 3 Roads Sector 70 Gurugram 122008 Haryana,Gurgaon,Haryana,,IN,+91 22 2632 6699,https://www.dominos.co.in/store-locations/gurgaon/reach-3-roads-sector-70-gurgaon-haryana,,Domino's Pizza,Q839466
https://www.dominos.co.in/store-locations/panipat/model-town-panipat-haryana,dominos_pizza_in,Dominos Pizza MODEL TOWN PANIPAT HARYANA,Ground Floor 17 L Model Town Panipat Haryana 132102,Panipat,Haryana,,IN,+91 22 2632 6699,https://www.dominos.co.in/store-locations/panipat/model-town-panipat-haryana,,Domino's Pizza,Q839466
https://www.dominos.co.in/store-locations/rohtak/liberty-jop-square-mall-rohtak-haryana,dominos_pizza_in,Dominos Pizza LIBERTY JOP SQUARE MALL ROHTAK HARYANA,Shop No G 01 on Ground Floor F 01 on First Floor Liberty JOP Square Mall Delhi Rohtak Road Arjun Nagar ROHTAK Pin 124001,Rohtak,Haryana,,IN,+91 22 2632 6699,https://www.dominos.co.in/store-locations/rohtak/liberty-jop-square-mall-rohtak-haryana,,Domino's Pizza,Q839466
https://www.dominos.co.in/store-locations/karnal/karnal-highway,dominos_pizza_in,Dominos Pizza KARNAL HIGHWAY,"SAVOY GREENS, 131 KM MILESTONES, G.T. ROAD, NEAR KARNA LAKE, KARNAL, Haryana",Karnal,Haryana,,IN,+91 22 2632 6699,https://www.dominos.co.in/store-locations/karnal/karnal-highway,,Domino's Pizza,Q839466
