Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://www.dominos.co.in/store-locations/bangalore/nagarbhavi,dominos_pizza_in,Dominos Pizza NAGARBHAVI,"Ground Floor, Site Bearing No 183, 2Nd Block, Nagarbhavi, NAGARBHAVI, BANGALORE, KARNATAKA, BANGALORE, Karnataka - 560091",Bangalore,Karnataka,,IN,+91 22 2632 6699,https://www.dominos.co.in/store-locations/bangalore/nagarbhavi,,Domino's Pizza,Q839466
10053786,shell,MAGADI ROAD,,BANGALORE,Karnataka,,IN,+91 91419 14161,https://find.shell.com/in/fuel/10053786-magadi-road,24/7,Shell,Q110716465
be2b8d20ef4ea8f36091c4ec31824160,western_union,MUTHOOT FINCORP LIMITED,,Bengaluru,KARNATAKA,,IN,+91 80 2836 8361,https://location.westernunion.com/in/karnataka/bengaluru/be2b8d20ef4ea8f36091c4ec31824160,Mo-Sa 08:00-20:00; Su 09:00-18:00,Western Union,Q861042
d6f871a72c9a886771b066396cbf64d8,western_union,MUTHOOT FINCORP LIMITED,,Bengaluru,KARNATAKA,,IN,+91 80 2358 4444,https://location.westernunion.com/in/karnataka/bengaluru/d6f871a72c9a886771b066396cbf64d8,Mo-Sa 08:00-20:00; Su 09:00-18:00,Western Union,Q861042
b883dd6160a04d5f49b92d08c7c4f5ce,western_union,MUTHOOTTU MINI FINANCIERS LTD,,Bangalore,KARNATAKA,,IN,+91 80 2328 4690,https://location.westernunion.com/in/karnataka/bangalore/b883dd6160a04d5f49b92d08c7c4f5ce,Mo-Sa 08:00-17:00,Western Union,Q861042
74604dd0aefe51ec13bcdc47ad935d24,western_union,MUTHOOTTU MINI FINANCIERS LTD,,Bengaluru,KARNATAKA,,IN,+91 80 2342 1120,https://location.westernunion.com/in/karnataka/bengaluru/74604dd0aefe51ec13bcdc47ad935d24,Mo-Sa 09:30-18:00,Western Union,Q861042
b7a072840070cf70b5a36b1d5ff9b6ec,western_union,MANAPPURAM FINANCE LIMITED,,Bengaluru,KARNATAKA,,IN,(+91) 9072694441-8360,https://location.westernunion.com/in/karnataka/bengaluru/b7a072840070cf70b5a36b1d5ff9b6ec,Mo-Fr 08:00-20:00; Sa 08:00-19:00; Su 09:00-18:00,Western Union,Q861042
2d529b678d32acf8fa41be9cd7a1451d,western_union,MANAPPURAM FINANCE LIMITED,,Bengaluru,KARNATAKA,,IN,+91 80 3255 8141,https://location.westernunion.com/in/karnataka/bengaluru/2d529b678d32acf8fa41be9cd7a1451d,Mo-Fr 08:00-20:00; Sa 08:00-19:00; Su 09:00-18:00,Western Union,Q861042
51ecd9954b68668507f621018fc003ef,western_union,MANAPPURAM FINANCE LIMITED,,Bengaluru,KARNATAKA,,IN,(+91) 802-9072695093,https://location.westernunion.com/in/karnataka/bengaluru/51ecd9954b68668507f621018fc003ef,Mo-Fr 08:00-20:00; Sa 08:00-19:00; Su 09:00-18:00,Western Union,Q861042
084639f9cc367f4fa4926aaa8c801b51,western_union,MANAPPURAM FINANCE LIMITED,,Bengaluru,KARNATAKA,,IN,(+91) 9072694471-3480,https://location.westernunion.com/in/karnataka/bengaluru/084639f9cc367f4fa4926aaa8c801b51,Mo-Fr 08:00-20:00; Sa 08:00-19:00; Su 09:00-18:00,Western Union,Q861042
e0001f4e38a8697685ea89dee3af36b8,western_union,MANAV TOURS AND TRAVELS,,Bengaluru,KARNATAKA,,IN,+91 86607 07776,https://location.westernunion.com/in/karnataka/bengaluru/e0001f4e38a8697685ea89dee3af36b8,Mo-Su 07:00-22:00,Western Union,Q861042
