Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
8984985,baskin_robbins_in,Baskin Robbins,"Baskin Robbins, Westfoods, Kiosk N, o 5, Ground Floor, Centre Square Mall, Mg Road, Cochin-682016, Kerala",Cochin,Kerala,,IN,+91 484 311 1131,,,Baskin Robbins,Q584601
india-offices-kochi,deloitte,Deloitte - Kochi,,Kochi,Kerala,,IN,+91 484 235 3694,https://www2.deloitte.com/in/en/footerlinks/office-locator/india-offices/kochi.html,,Deloitte,Q491748
IN132058,reebok,Reebok Exclusive Store - MG Road,,Cochin,Kerala,,IN,,,,Reebok,Q466183
f4b1f45c99d64b4ee0cf1753ffcd36bf,western_union,COCHIN FOREX PRIVATE LIMITED,,Ernakulam,KERALA,,IN,(+91) 484-9847705876,https://location.westernunion.com/in/kerala/ernakulam/f4b1f45c99d64b4ee0cf1753ffcd36bf,Mo-Su 09:00-22:00,Western Union,Q861042
83d2952aa1c8b1a88ff47a412b49670c,western_union,MANAPPURAM FINANCE LIMITED,,Ernakulam,KERALA,,IN,(+91) 484-9072694623,https://location.westernunion.com/in/kerala/ernakulam/83d2952aa1c8b1a88ff47a412b49670c,Mo-Fr 08:00-20:00; Sa 08:00-19:00; Su 09:00-18:00,Western Union,Q861042
dacc385202b6e72711ffd6b36c935432,western_union,KOSAMATTAM FINANCE LTD,,Ernakulam,KERALA,,IN,+91 484 236 6629,https://location.westernunion.com/in/kerala/ernakulam/dacc385202b6e72711ffd6b36c935432,Mo-Su 07:00-19:00,Western Union,Q861042
3b49f5ecf32b6ac7f375ccc5cf3a54a1,western_union,MUTHOOT FINCORP LIMITED,,Ernakulam,KERALA,,IN,+91 484 237 0101,https://location.westernunion.com/in/kerala/ernakulam/3b49f5ecf32b6ac7f375ccc5cf3a54a1,Mo-Sa 08:00-20:00; Su 09:00-18:00,Western Union,Q861042
4e3feb30a3b086b60495422fee6080e8,western_union,MUTHOOTTU MINI FINANCIERS LTD,,Ernakulam,KERALA,,IN,+91 484 236 3299,https://location.westernunion.com/in/kerala/ernakulam/4e3feb30a3b086b60495422fee6080e8,Mo-Sa 09:30-18:00,Western Union,Q861042
4ecda8a6b846fa8f98a04a00d32b178a,western_union,MUTHOOT FINANCE LTD,,Ernakulam,KERALA,,IN,+91 73563 24539,https://location.westernunion.com/in/kerala/ernakulam/4ecda8a6b846fa8f98a04a00d32b178a,Mo-Sa 09:00-17:30,Western Union,Q861042
a1f849328acec7b8da8848024fb08ec8,western_union,KLM AXIVA FINVEST LTD,,Pallimukku,KERALA,,IN,(+91) 454-4871660,https://location.westernunion.com/in/kerala/pallimukku/a1f849328acec7b8da8848024fb08ec8,Mo-Su 08:00-22:00,Western Union,Q861042
ba37ef45fef51e09317e2ce31be189f3,western_union,MX XCHANGE,,Ernakulam,KERALA,,IN,+91 98465 01878,https://location.westernunion.com/in/kerala/ernakulam/ba37ef45fef51e09317e2ce31be189f3,Mo-Su 07:00-22:00,Western Union,Q861042
5d1d19e6493278887726f955bef48ec9,western_union,KRSIHNA MONEY EXCHANGE PRIVATE LIMITED,,Ernakulam,KERALA,,IN,+91 98957 08858,https://location.westernunion.com/in/kerala/ernakulam/5d1d19e6493278887726f955bef48ec9,Mo-Su 09:30-19:30,Western Union,Q861042
aa7f5e316304f04e620295c797885bd2,western_union,MUTHOOT FINCORP LIMITED,,Ernakulam,KERALA,,IN,+91 484 235 8384,https://location.westernunion.com/in/kerala/ernakulam/aa7f5e316304f04e620295c797885bd2,Mo-Sa 08:00-20:00; Su 09:00-18:00,Western Union,Q861042
