Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
73438887,moneygram,SLN FOREX SERVICES PVT LTD,,BANGALORE NORTH,,,IN,+91 98453 51716,,Mo-Su 08:00-21:00,MoneyGram,Q1944412
73640028,moneygram,BHAVANI MARKETING,,BANGALORE,,,IN,+91 96322 57777,,Mo-Su 08:00-21:00,MoneyGram,Q1944412
73754150,moneygram,AIR 2 ASIA HOLIDAY,,BANGALORE,,,IN,+91 86609 04417,,Mo-Su 08:00-21:00,MoneyGram,Q1944412
73748360,moneygram,ANNAMMADEVI TOURS & TRAVELS,,BANGALORE,,,IN,+91 96323 19656,,Mo-Su 08:00-21:00,MoneyGram,Q1944412
73734879,moneygram,NAVEEN ENTERPRISES,,BANGALORE,,,IN,+91 95353 85466,,Mo-Su 08:00-21:00,MoneyGram,Q1944412
73726065,moneygram,RAGHOTTAM KULKARNI,,BANGALORE,,,IN,+91 99804 54100,,Mo-Su 08:00-21:00,MoneyGram,Q1944412
73746812,moneygram,RAJ TOURS AND TRAVELS,,BANGALORE,,,IN,+91 99450 62014,,Mo-Su 08:00-21:00,MoneyGram,Q1944412
73730501,moneygram,SALEEM TRAVELS,,BANGALORE,,,IN,+91 93412 53631,,Mo-Su 08:00-21:00,MoneyGram,Q1944412
73733825,moneygram,SHEETAL TRAVELS,,BANGALORE,,,IN,+91 96112 30555,,Mo-Su 08:00-21:00,MoneyGram,Q1944412
73734196,moneygram,SUMUKA CREATION,,BANGALORE,,,IN,+91 98459 73467,,Mo-Su 08:00-21:00,MoneyGram,Q1944412
73828918,moneygram,S. T. C. TOURISM,,BANGALORE,,,IN,+91 98453 22285,,Mo-Su 08:00-21:00,MoneyGram,Q1944412
N233695,united_colors_of_benetton,Benetton Bangalore,,BANGALORE,,,IN,+91 44 2834 4004,,,United Colors of Benetton,Q817139
,visa,,,BANGALORE,,,IN,,,,,
,visa,,,BANGALORE,,,IN,,,,,
,visa,,,BANGALORE,,,IN,,,,,
,visa,,,BANGALORE,,,IN,,,,,
,visa,,,BANGALORE,,,IN,,,,,
,visa,,,BANGALORE,,,IN,,,,,
,visa,,,BANGALORE,,,IN,,,,,
,visa,,,BANGALORE,,,IN,,,,,
,visa,,,BANGALORE,,,IN,,,,,
,visa,,,BANGALORE,,,IN,,,,,
,visa,,,BANGALORE,,,IN,,,,,
,visa,,,BANGALORE,,,IN,,,,,
,visa,,,BANGALORE,,,IN,,,,,
,visa,,,BANGALORE,,,IN,,,,,
