Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
3156,carrefour_it,Carrefour Express VIA LOCATELLI 36 - VILLA DI SERIO (BG),,VILLA DI SERIO,BG,,IT,,https://www.carrefour.it/punti-vendita/carrefour-express-villa-di-serio-via-locatelli-36-3156.html,"Tu-Sa 08:30-12:30,15:30-19:30",Carrefour Express,Q2940190
139422,conad_it,,"VIA DON SPINELLI 2, 24020 SCANZOROSCIATE",,BG,,IT,+39 035 661136,https://www.conad.it/ricerca-negozi/margherita-conad-via-don-spinelli-2-24020-scanzorosciate--002936,"Mo-Sa 08:00-12:30,16:00-19:30",Margherita Conad,
143571,conad_it,Conad,"VIA DON L. PALAZZOLO SNC, 24020 TORRE BOLDONE",,BG,,IT,+39 0522 054807,https://www.conad.it/ricerca-negozi/conad-via-don-l-palazzolo-snc-24020-torre-boldone--008535,Mo-Sa 08:00-20:00; Su 08:30-19:30,Conad,Q639075
00PV001447,q8_italia,Q8,,SCANZOROSCIATE,BG,,IT,,,,Q8,Q1634762
00PV001411,q8_italia,Q8,,VILLA D'OGNA,BG,,IT,,,,Q8,Q1634762
00PV001410,q8_italia,Q8,,FIORANO AL SERIO,BG,,IT,,,,Q8,Q1634762
IT_19856,shell,Gromo,,Gromo,BG,,IT,,https://find.shell.com/it/fuel/IT_19856-gromo,,Shell,Q110716465
264-01095,skoda,PAGANESSI AUTO S.R.L.,,,BG,,IT,,,,Skoda,Q29637
,visa,,,GORLE,BG,,IT,,,,,
,visa,,,GORLE,BG,,IT,,,,,
,visa,,,GORLE,BG,,IT,,,,,
,visa,,,SCANZOROSCIATE,BG,,IT,,,,,
,visa,,,TORRE BOLDONE,BG,,IT,,,,,
,visa,,,TORRE BOLDONE,BG,,IT,,,,,
,visa,,,TORRE BOLDONE,BG,,IT,,,,,
,visa,,,VILLA DI SERIO,BG,,IT,,,,,
,visa,,,VILLA DI SERIO,BG,,IT,,,,,
,visa,,,VILLA DI SERIO,BG,,IT,,,,,
,visa,,,RANICA,BG,,IT,,,,,
,visa,,,SELVINO,BG,,IT,,,,,
,visa,,,SELVINO,BG,,IT,,,,,
,visa,,,CENE,BG,,IT,,,,,
,visa,,,CENE,BG,,IT,,,,,
,visa,,,FIORANO AL SERIO,BG,,IT,,,,,
,visa,,,FIORANO AL SERIO,BG,,IT,,,,,
,visa,,,FIORANO AL SERIO,BG,,IT,,,,,
,visa,,,PEIA,BG,,IT,,,,,
,visa,,,PEIA,BG,,IT,,,,,
,visa,,,COLZATE,BG,,IT,,,,,
,visa,,,VERTOVA,BG,,IT,,,,,
,visa,,,CASNIGO,BG,,IT,,,,,
,visa,,,CLUSONE,BG,,IT,,,,,
,visa,,,PARRE,BG,,IT,,,,,
,visa,,,ROVETTA,BG,,IT,,,,,
,visa,,,ROVETTA,BG,,IT,,,,,
,visa,,,CASTIONE DELLA PRESOLANA,BG,,IT,,,,,
,visa,,,ARDESIO,BG,,IT,,,,,
,visa,,,ARDESIO,BG,,IT,,,,,
,visa,,,CLUSONE,BG,,IT,,,,,
,visa,,,GROMO,BG,,IT,,,,,
,visa,,,GROMO,BG,,IT,,,,,
,visa,,,VALBONDIONE,BG,,IT,,,,,
