Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://negozi.arcaplanet.it/sicilia/ct/caltagirone-viale-europa-6/b,arcaplanet_it,Arcaplanet,,Caltagirone,CT,,IT,+39 0933 194 1471,https://negozi.arcaplanet.it/sicilia/ct/caltagirone-viale-europa-6/b,,Arcaplanet,Q105530937
74281130,moneygram,BANGLA MINIMARKET,,CALTAGIRONE,CT,,IT,+39 328 177 6177,,24/7,MoneyGram,Q1944412
70778919,moneygram,NADEVA ETHNIC FOOD,,CALTAGIRONE,CT,,IT,+39 0933 26979,,Mo-Su 06:00-23:00,MoneyGram,Q1944412
00PV009125,q8_italia,Q8,,CALTAGIRONE,CT,,IT,,,,Q8,Q1634762
00PV009121,q8_italia,Q8 Easy,,SAN GIOVANNI LA PUNTA,CT,,IT,,,,Q8 Easy,Q1806948
00PV009009,q8_italia,Q8,,CALTAGIRONE,CT,,IT,,,,Q8,Q1634762
,visa,,,CALTAGIRONE,CT,,IT,,,,,
,visa,,,CALTAGIRONE,CT,,IT,,,,,
,visa,,,CALTAGIRONE,CT,,IT,,,,,
,visa,,,CALTAGIRONE,CT,,IT,,,,,
,visa,,,CALTAGIRONE,CT,,IT,,,,,
,visa,,,CALTAGIRONE,CT,,IT,,,,,
,visa,,,CALTAGIRONE,CT,,IT,,,,,
