City,Place Name,Zipcode,Name
Chieti,giunti_al_punto_it,Corso Marrucino 125 66100 Chieti,unknown,Libreria Giunti al Punto Chieti
Chieti,tigota_it,,unknown,Tigotà
Villa Santa Maria,western_union,,unknown,VATIERI PASQUALE CIRO
Roccaspinalveti,western_union,,unknown,RAMUNDO JOSE  DONATO
Tornareccio,western_union,,unknown,TOTARO SERGIO
Gissi,western_union,,unknown,DI CANDILO ANDREA
San Salvo,western_union,,unknown,MANCINI FABIO
Altino,western_union,,unknown,ROSSETTI VIAGGI SAS DI ROSSETTI ELEONO
Casoli,western_union,,unknown,CANIGLIA MARIA GIACINTA
Atessa,western_union,,unknown,TINARO MARCO
Guardiagrele,western_union,,unknown,CENTRO TOUR DI CIANCIO FILIPPO 2 PUNTO
Vasto,western_union,,unknown,BEST OFFICE SRLS
Orsogna,western_union,,unknown,CENTRO TOUR CIANCIO AGENZIA DI VIAGGIO E
Casalbordino,western_union,,unknown,MOLISANI MARCO
Lanciano,western_union,,unknown,BIUNDO ANTONINO
Canosa Sannita,western_union,,unknown,PICCIANO MARTINA
Chieti,western_union,,unknown,BARONE CAFE DI TACCONELLI ANGELO
Fossacesia,western_union,,unknown,DELLA PENNA ELIA
Torrevecchia Teatina,western_union,,unknown,COSTANTINI LUCIO
San Giovanni Teatino,western_union,,unknown,TABACCHERIA GIAMPAOLO DANILO
Ortona,western_union,,unknown,LEONZIO DAVIDE
Ripa Teatina,western_union,,unknown,TROIANO ALESSANDRO
Villamagna,western_union,,unknown,DE LUCA ISABELLA
Francavilla Al Mare,western_union,,unknown,CAMPLI MARIA ROSARIA
