Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
05968_4,bmw_group,EMMEAUTO LECCE SRL,,MAGLIE,LE,,IT,+39 0836 426338,http://emmeauto-maglie.mini.it,,BMW,Q26678
139750,conad_it,Conad,"VIA LECCE ANG.SAN DOMENICO SNC, 73024 MAGLIE",,LE,,IT,+39 0836 312197,https://www.conad.it/ricerca-negozi/conad-via-lecce-angsan-domenico-snc-73024-maglie--009292,Mo-Sa 07:45-20:30; Su 08:30-12:30,Conad,Q639075
68648938,moneygram,EUROPOSTE - DONATELLA,,MAGLIE,LE,,IT,836312184,,Mo-Fr 07:15-20:45; Sa 07:15-14:45; Su 00:00-24:00,MoneyGram,Q1944412
66577726,moneygram,ACI MAGLIE,,MAGLIE,LE,,IT,+39 0836 483298,,Mo-Fr 09:00-19:30; Sa 09:00-11:00; Su 09:00-19:30,MoneyGram,Q1944412
00PV008637,q8_italia,Q8 Easy,,MAGLIE,LE,,IT,,,,Q8 Easy,Q1806948
,visa,,,SCORRANO,LE,,IT,,,,,
,visa,,,MAGLIE,LE,,IT,,,,,
,visa,,,MAGLIE,LE,,IT,,,,,
,visa,,,MAGLIE,LE,,IT,,,,,
,visa,,,MAGLIE,LE,,IT,,,,,
,visa,,,MAGLIE,LE,,IT,,,,,
