City,Place Name,Zipcode,Name
Roma,asics_eu,,unknown,ASICS Factory Outlet Roma
Roma,audi,Via Appia Nuova 803 00178 Roma,unknown,AUTOCENTRI BALDUINA
Velletri,audi,Via Appia Vecchia 10 00049 Velletri,unknown,AUTOVELLETRI
Roma,audi,Via Smerillo 32/34 00156 Roma,unknown,L'AUTOMOBILE ROMA
Civita Castellana,audi,S.S. Flaminia km. 58 200 01033 Civita Castellana,unknown,PANTANO
Frascati,audi,Via Sciadonna 5 00044 Frascati,unknown,FRABONI & MENGHINI
Roma,audi,Via Casale di Settebagni 9 00138 Roma,unknown,AUTOCENTRI BALDUINA
Roma,audi,Via Idrovore della Magliana 175 00148 Roma,unknown,EURSERVICE
Villa Santa Lucia,audi,Via Casilina Nord 44 03030 Villa Santa Lucia,unknown,ZENTRUM CASSINO
ROMA,audi,Via del Fosso di Acqua Acetosa Ostiense 35 00143 ROMA,unknown,GERMANYCAR
POMEZIA  (RM),audi,Via PONTINA VECCHIA 33 00071 POMEZIA (RM),unknown,RC AUTOMOTIVE S.R.L.
Viterbo,audi,Strada Cassia Nord KM 84.500 01100 Viterbo,unknown,AUTOCENTRI BALDUINA
Latina,audi,Via Piave 85 04100 Latina,unknown,L’AUTOMOBILE LATINA
Citta metropolitana di Roma Capitale,champion,CORSO CENTOCELLE 11/13 00053 ,unknown,CIVITAVECCHIA
Citta metropolitana di Roma Capitale,champion,C.C. PORTA DI ROMA VIA ALBERTO LIONELLO 201 00139 ,unknown,ROMA C.C. PORTA DI ROMA
Citta metropolitana di Roma Capitale,champion,C.C. LA ROMANINA VIA E.FERRI 8 00173 ,unknown,ROMA C.C. ROMANINA
Tivoli,fedex,,unknown,unknown
Terracina,fedex,,unknown,unknown
Sora,fedex,,unknown,unknown
Sezze Scalo,fedex,,unknown,unknown
Santa Marinella,fedex,,unknown,unknown
San Cesareo,fedex,,unknown,unknown
Sacrofano,fedex,,unknown,unknown
Sabaudia,fedex,,unknown,unknown
Rome,fedex,,unknown,unknown
Roma,fedex,,unknown,FedEx Station
Rieti,fedex,,unknown,unknown
Priverno,fedex,,unknown,unknown
Pomezia,fedex,,unknown,unknown
Poggio Moiano,fedex,,unknown,unknown
Poggio Mirteto,fedex,,unknown,unknown
Pofi,fedex,,unknown,unknown
Nettuno,fedex,,unknown,unknown
Nepi,fedex,,unknown,unknown
Monterotondo,fedex,,unknown,unknown
Monte San Giovanni Campano,fedex,,unknown,unknown
Minturno,fedex,,unknown,unknown
Marino,fedex,,unknown,unknown
Lido Di Ostia,fedex,,unknown,unknown
Lido Di Ostia Ponente,fedex,,unknown,unknown
Latina,fedex,,unknown,unknown
Latina Scalo,fedex,,unknown,unknown
Lariano,fedex,,unknown,unknown
Ladispoli,fedex,,unknown,unknown
Itri,fedex,,unknown,unknown
Isola Del Liri,fedex,,unknown,unknown
Guidonia,fedex,,unknown,unknown
Grottaferrata,fedex,,unknown,unknown
Frosinone,fedex,,unknown,unknown
Frascati,fedex,,unknown,unknown
Formia,fedex,,unknown,unknown
Fiumicino,fedex,,unknown,unknown
Ferentino,fedex,,unknown,unknown
Colleferro,fedex,,unknown,unknown
Civitavecchia,fedex,,unknown,unknown
Civita Castellana,fedex,,unknown,unknown
Cisterna Di Latina,fedex,,unknown,unknown
Ciampino,fedex,,unknown,unknown
Cerveteri,fedex,,unknown,unknown
Ceccano,fedex,,unknown,unknown
Cave,fedex,,unknown,unknown
Castrocielo,fedex,,unknown,unknown
Castel Gandolfo,fedex,,unknown,unknown
Cassino,fedex,,unknown,unknown
Canino,fedex,,unknown,unknown
Bracciano,fedex,,unknown,unknown
Atina,fedex,,unknown,unknown
Arce,fedex,,unknown,unknown
Aprilia,fedex,,unknown,unknown
Anzio,fedex,,unknown,unknown
Antrodoco,fedex,,unknown,unknown
Albano Laziale,fedex,,unknown,unknown
Acquapendente,fedex,,unknown,unknown
Citta metropolitana di Roma Capitale,ionity,,unknown,Roma Nord
Valmontone RM,ionity,,unknown,Valmontone
Citta metropolitana di Roma Capitale,meta,,unknown,Meta
Provincia di Rieti,pepco,,unknown,Pepco
Citta metropolitana di Roma Capitale,pepco,,unknown,Pepco
Provincia di Latina,pepco,,unknown,Pepco
Provincia di Viterbo,pepco,,unknown,Pepco
Provincia di Frosinone,pepco,,unknown,Pepco
Roma,rsg_group,,unknown,Palestra McFIT
Roma,starbucks_eu,Via Giovanni Giolitti 40 00185 Roma,unknown,Roma Stazione Termini Underground
Roma,starbucks_eu,via Giovanni Giolitti 2 00185 Roma,unknown,Roma Terrazza Termini
Roma,starbucks_eu,Via del Ponte di Piscina Cupa 64 00128 Roma RM 00128 Roma,unknown,Roma Outlet Castel Romano
Roma,starbucks_eu,Roma Via Alberto Lionello 201 00139 Roma,unknown,SM Porta di Roma
Citta metropolitana di Roma Capitale,tier,,unknown,Tier
