Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://negozi.tigota.it/6207-modena,tigota_it,Tigotà,,Modena,Modena,,IT,+39 059 238386,https://negozi.tigota.it/6207-modena,Mo-Sa 09:00-20:00; Su 09:00-13:00,Tigotà,Q107464330
https://negozi.tigota.it/5798-modena,tigota_it,Tigotà,,Modena,Modena,,IT,+39 059 221713,https://negozi.tigota.it/5798-modena,Mo-Sa 09:00-20:00; Su 10:00-20:00,Tigotà,Q107464330
93520f58a46d47b81cbb5a13caf387af,western_union,CIRILLO LUIGI,,Modena,MODENA,,IT,+39 059 270147,https://location.westernunion.com/it/modena/modena/93520f58a46d47b81cbb5a13caf387af,Mo-Sa 07:00-20:00; Su 07:00-13:00,Western Union,Q861042
063b4039b81e9de6d5c8861f482de7d8,western_union,RANA BROTHERS DI MANZOOR NASEEM,,Modena,MODENA,,IT,+39 059 227 0193,https://location.westernunion.com/it/modena/modena/063b4039b81e9de6d5c8861f482de7d8,Mo-Su 08:00-21:00,Western Union,Q861042
9c97ab3b7595216d09a8a4f24c07f72a,western_union,FIORENTINO MARIA,,Modena,MODENA,,IT,+39 059 473 0240,https://location.westernunion.com/it/modena/modena/9c97ab3b7595216d09a8a4f24c07f72a,Mo-Sa 06:45-20:45; Su 08:15-13:30,Western Union,Q861042
cb6d24ac9dd382145683edb31cd3e9ec,western_union,QASIM POINT DI ZAHOOR NASIR,,Modena,MODENA,,IT,+39 059 239623,https://location.westernunion.com/it/modena/modena/cb6d24ac9dd382145683edb31cd3e9ec,Mo-Su 08:00-23:00,Western Union,Q861042
4a386e5b95401245507421dafbcec535,western_union,AL MADINA DI HUSSAIN ARIF,,Modena,MODENA,,IT,+39 059 226273,https://location.westernunion.com/it/modena/modena/4a386e5b95401245507421dafbcec535,Mo-Su 09:00-21:00,Western Union,Q861042
fa4be3a743fcb4b4572f4784c5a1dcc2,western_union,MADANI DI MUHAMMAD IMRAN,,Modena,MODENA,,IT,+39 059 221273,https://location.westernunion.com/it/modena/modena/fa4be3a743fcb4b4572f4784c5a1dcc2,Mo-Su 09:00-21:00,Western Union,Q861042
60c7c85be3fc7f4a0a7bfe200a9a070b,western_union,IPO MONEY QUICK DI PETER OLAMIPO,,Modena,MODENA,,IT,+39 059 216011,https://location.westernunion.com/it/modena/modena/60c7c85be3fc7f4a0a7bfe200a9a070b,Mo-Su 08:00-21:00,Western Union,Q861042
6de694d0e1cebec33dc90681f65a841e,western_union,IMMACULATE DI OKUONGHAE COURAGE OSAYAWE,,Modena,MODENA,,IT,+39 059 482 1198,https://location.westernunion.com/it/modena/modena/6de694d0e1cebec33dc90681f65a841e,Mo-Sa 09:00-20:00,Western Union,Q861042
cc2121ed3ef5f74a88b66a06b4fe04bb,western_union,LA PRIMIZIA D ORIENTE SRL,,Modena,MODENA,,IT,+39 059 226265,https://location.westernunion.com/it/modena/modena/cc2121ed3ef5f74a88b66a06b4fe04bb,Mo-Su 08:00-22:00,Western Union,Q861042
52250d0aff8d2d6c40e57e3ef85b0513,western_union,AMBASSADORS AND ASSOCIATES SRL SEMPLIFIC,,Modena,MODENA,,IT,+39 346 259 0547,https://location.westernunion.com/it/modena/modena/52250d0aff8d2d6c40e57e3ef85b0513,Mo-Fr 09:00-19:00; Sa 09:00-15:00,Western Union,Q861042
