Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
139147,conad_it,,"VIA CIRCONVALLAZIONE 15, 28010 MIASINO",,NO,,IT,+39 0322 980007,https://www.conad.it/ricerca-negozi/margherita-conad-via-circonvallazione-15-28010-miasino--005471,"Mo-Tu 07:40-12:30,16:00-19:00; We-Th 07:40-12:30; Fr-Sa 07:40-12:30,16:00-19:00; Su 08:00-13:00",Margherita Conad,
00PV000885,q8_italia,Q8 Easy,,BRIGA NOVARESE,NO,,IT,,,,Q8 Easy,Q1806948
,visa,,,CALTIGNAGA,NO,,IT,,,,,
,visa,,,FONTANETO D'AGOGNA,NO,,IT,,,,,
,visa,,,FONTANETO D'AGOGNA,NO,,IT,,,,,
,visa,,,FONTANETO D'AGOGNA,NO,,IT,,,,,
,visa,,,GOZZANO,NO,,IT,,,,,
,visa,,,BRIGA NOVARESE,NO,,IT,,,,,
,visa,,,BRIGA NOVARESE,NO,,IT,,,,,
,visa,,,PELLA,NO,,IT,,,,,
,visa,,,PELLA,NO,,IT,,,,,
,visa,,,ARONA,NO,,IT,,,,,
,visa,,,NEBBIUNO,NO,,IT,,,,,
