Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
https://negozi.arcaplanet.it/lazio/rm/roma-via-dello-statuto-23,arcaplanet_it,Arcaplanet,,Roma,RM,,IT,+39 06 8678 9735,https://negozi.arcaplanet.it/lazio/rm/roma-via-dello-statuto-23,,Arcaplanet,Q105530937
4464,carrefour_it,Carrefour Express VIALE MANZONI 26 - ROMA (RM),,ROMA,RM,,IT,,https://www.carrefour.it/punti-vendita/carrefour-express-roma-viale-manzoni-26-4464.html,Mo-Sa 07:00-22:00; Su 09:00-22:00,Carrefour Express,Q2940190
0660,carrefour_it,"Carrefour Market VIA DEI SABELLI, 125/129 - ROMA (RM)",,ROMA,RM,,IT,,https://www.carrefour.it/punti-vendita/carrefour-market-roma-via-dei-sabelli-125129-0660.html,Mo-Su 07:00-24:00,Carrefour Market,Q2689639
142264,conad_it,Conad City,"VIA S.CROCE IN GERUSALEMME 14, 00185 ROMA",,RM,,IT,+39 06 702 3122,https://www.conad.it/ricerca-negozi/conad-city-via-scroce-in-gerusalemme-14-00185-roma--006485,Mo-Sa 08:00-20:00,Conad City,Q57543102
147120,conad_it,Conad,"VIA BUONARROTI 41852, 00185 ROMA",,RM,,IT,+39 06 482 8281,https://www.conad.it/ricerca-negozi/conad-via-buonarroti-41852-00185-roma--008012,Mo-Sa 08:00-21:00; Su 08:00-20:00,Conad,Q639075
146810,conad_it,Conad City,"VIA DEI LIGURI 9/19, 00185 ROMA",,RM,,IT,+39 06 444 0558,https://www.conad.it/ricerca-negozi/conad-city-via-dei-liguri-9-19-00185-roma--008013,Mo-Sa 07:30-21:00; Su 08:00-13:30,Conad City,Q57543102
142422,conad_it,,"PIAZZA DEI 500 - STAZIONE TERMINI SNC, 00185 ROMA",,RM,,IT,+39 06 8740 6055,https://www.conad.it/ricerca-negozi/sapori-dintorni-conad-piazza-dei-500-stazione-termini-snc-00185-roma--003623,Mo-Su 05:30-23:30,Sapori & Dintorni Conad,
147124,conad_it,Conad City,"PIAZZA DELL'INDIPENDENZA 28, 00185 ROMA",,RM,,IT,+39 06 4470 4290,https://www.conad.it/ricerca-negozi/conad-city-piazza-dellindipendenza-28-00185-roma--008010,Mo-Sa 07:30-22:00; Su 08:00-20:30,Conad City,Q57543102
67763526,moneygram,YES CALL CENTER SRL,,ROMA,RM,,IT,+39 06 4434 0128,,Mo-Su 09:00-21:00,MoneyGram,Q1944412
70776254,moneygram,NEW MISSION,,ROMA,RM,,IT,+39 06 4436 0102,,Mo-Su 06:00-23:00,MoneyGram,Q1944412
70124822,moneygram,HASNA SAS,,ROMA,RM,,IT,+39 06 488 1605,,Mo-Su 05:00-23:00,MoneyGram,Q1944412
73880613,moneygram,KHONDAKER IFTEKHARUL ALAM,,ROMA,RM,,IT,+39 327 884 0025,,Mo-Su 06:00-23:00,MoneyGram,Q1944412
73933492,moneygram,LOGRONO ALVARADO LILIANA GRISELDA,,ROMA,RM,,IT,+39 380 797 1423,,Mo-Su 06:00-23:00,MoneyGram,Q1944412
74046346,moneygram,MIA TUSHAR,,ROMA,RM,,IT,+39 388 884 1121,,Mo-Su 06:00-23:00,MoneyGram,Q1944412
69503108,moneygram,ASIA FASHION,,ROMA,RM,,IT,+39 06 8438 9055,,Mo-Su 05:00-23:00,MoneyGram,Q1944412
73196006,moneygram,ASIA FASHION GIOLITTI,,ROMA,RM,,IT,+39 329 434 0657,,Mo-Su 06:00-23:00,MoneyGram,Q1944412
73370709,moneygram,GLOBAL TOURIST POINT,,ROMA,RM,,IT,+39 06 4470 0772,,Mo-Su 06:00-23:00,MoneyGram,Q1944412
70447389,moneygram,COMMUNITY SNC,,ROMA,RM,,IT,+39 06 4893 0383,,Mo-Su 05:00-23:00,MoneyGram,Q1944412
67100095,moneygram,AKON ANAMUL HOQUE,,ROMA,RM,,IT,+39 06 6892 77423,,Mo-Su 06:00-23:30,MoneyGram,Q1944412
68992464,moneygram,PHONE CENTER BITY COM,,ROMA,RM,,IT,+39 06 7049 7192,,Mo-Su 07:00-22:00,MoneyGram,Q1944412
74424201,moneygram,COMMUNITY SNC II,,ROMA,RM,,IT,+39 329 817 0901,,Mo-Su 06:00-23:00,MoneyGram,Q1944412
70711662,moneygram,JANNATUR NAYEEM,,ROMA,RM,,IT,+39 06 4470 2070,,Mo-Su 06:00-23:00,MoneyGram,Q1944412
67259027,moneygram,NEW UNITY SRL,,ROMA,RM,,IT,+39 06 8769 6962,,Mo-Su 08:00-23:00,MoneyGram,Q1944412
74628120,moneygram,FSG POSTE - ROMA - FSG,,ROMA,RM,,IT,+39 351 048 5179,,Mo-Su 09:00-21:00,MoneyGram,Q1944412
74587876,moneygram,BATANGAS TRUST SERVICES - ROMA,,ROMA,RM,,IT,+39 06 8629 4784,,Mo-Su 08:00-23:00,MoneyGram,Q1944412
74602612,moneygram,MAIA EXPRESS,,ROMA,RM,,IT,+39 06 8941 7268,,Mo-Su 09:00-20:00,MoneyGram,Q1944412
74664375,moneygram,RAHMAN MD HABIBUR - #1,,ROMA,RM,,IT,+39 327 891 8164,,Mo-Su 06:00-23:30,MoneyGram,Q1944412
74529339,moneygram,TRAVEL AGENCY & MONEY TRANSFERS CSV PRO,,ROMA,RM,,IT,+39 06 4547 8893,,Mo-Su 09:00-23:00,MoneyGram,Q1944412
74710766,moneygram,YAMU TRAVELS SOCIETA'A RESPONSABILITA' L,,ROMA,RM,,IT,+39 06 7049 5226,,Mo-Su 06:00-23:30,MoneyGram,Q1944412
74942712,moneygram,VOLTURNO MONEY TRANSFER,,ROMA,RM,,IT,+39 329 851 2793,,Mo-Su 06:00-23:30,MoneyGram,Q1944412
74944781,moneygram,EURO MINIMARKET S.A.S. DI RAHAMAN SAIDUR,,ROMA,RM,,IT,+39 328 569 8173,,Mo-Su 06:00-23:30,MoneyGram,Q1944412
74902875,moneygram,CAF PATRONATO - #1,,ROMA,RM,,IT,+39 327 788 1535,,Mo-Su 09:00-20:00,MoneyGram,Q1944412
71086901,moneygram,HALDER LITON CHANDRA,,ROMA,RM,,IT,+39 06 8993 9043,,Mo-Su 06:00-23:00,MoneyGram,Q1944412
,visa,,,ROMA,RM,,IT,,,,,
,visa,,,ROMA,RM,,IT,,,,,
,visa,,,ROMA,RM,,IT,,,,,
,visa,,,ROMA,RM,,IT,,,,,
,visa,,,ROMA,RM,,IT,,,,,
27,yves_rocher_it,Yves Rocher Italia,,Roma,RM,,IT,+39 06 474 5472,,Mo-Su 08:00-21:00,Yves Rocher,Q1477321
136,yves_rocher_it,Yves Rocher Italia,,Roma,RM,,IT,+39 06 487 0839,,Mo-Su 08:00-21:00,Yves Rocher,Q1477321
