City,Place Name,Zipcode,Name
Martinsicuro,arcaplanet_it,,unknown,Arcaplanet
Teramo,arcaplanet_it,,unknown,Arcaplanet
TERAMO,bmw_group,,unknown,CASCIOLI SPA
Teramo,brico_io_it,,unknown,TERAMO
unknown,conad_it,BORGO SAN LEONARDO 1 64045 ISOLA DEL GRAN SASSO D'ITALIA,unknown,Conad City
unknown,conad_it,VIA SETTEMBRINI SNC 64046 MONTORIO AL VOMANO,unknown,Conad
unknown,conad_it,VIA S.S.150 C. DA SALARA SNC 64030 BASCIANO,unknown,Conad
unknown,conad_it,VIA CONA Snc 64100 TERAMO,unknown,Conad
unknown,conad_it,Via Statale Sud 167 64028 SILVI,unknown,Conad Superstore
unknown,conad_it,VIA SAN PIETRO SNC 64032 ATRI,unknown,Conad City
unknown,conad_it,VIA NAZIONALE SNC 64020 CASTELLALTO,unknown,Conad City
unknown,conad_it,VIA MARIA PALMA MEZZOPRETI SNC 64100 TERAMO,unknown,Conad
unknown,conad_it,CENTRO COMMERCIALE GRAN SASSO SNC 64100 TERAMO,unknown,Spazio Conad
unknown,conad_it,VIA VILLA SCAPOLI 33 64024 NOTARESCO,unknown,Conad City
unknown,conad_it,VIA F. MARTELLA 14 64025 PINETO,unknown,Conad
unknown,conad_it,VIA DE VINCENZI  31 64024 NOTARESCO,unknown,Conad City
unknown,conad_it,PIAZZA SAN SALVATORE SNC 64012 CAMPLI,unknown,Conad City
unknown,conad_it,VIA NAZIONALE ADRIATICA 531 65026 ROSETO DEGLI ABRUZZI,unknown,Conad
unknown,conad_it,VIA MILANO 42 64023 MOSCIANO SANT'ANGELO,unknown,Conad
unknown,conad_it,VIA NAZIONALE 138 64026 ROSETO DEGLI ABRUZZI,unknown,Conad City
unknown,conad_it,VIA GIUSEPPE DI VITTORIO 14 64021 GIULIANOVA,unknown,Conad
unknown,conad_it,VIA NAZIONALE 95 64010 CIVITELLA DEL TRONTO,unknown,unknown
unknown,conad_it,VIA C.BATTISTI 28/30 64021 GIULIANOVA,unknown,unknown
unknown,conad_it,Corso Adriatico 155 64016 SANT'EGIDIO ALLA VIBRATA,unknown,Conad
unknown,conad_it,VIALE ORSINI 122 64022 GIULIANOVA,unknown,unknown
unknown,conad_it,VIA VITTORIO VENETO 12 64016 SANT'EGIDIO ALLA VIBRATA,unknown,unknown
unknown,conad_it,VIA GRAMSCI 88 64015 NERETO,unknown,Conad City
unknown,conad_it,VIA NAZIONALE ADRIATICA 161 64018 TORTORETO,unknown,Conad
unknown,conad_it,VIA VENEZIA 39 64018 TORTORETO,unknown,Conad
unknown,conad_it,VIA LEONARDO DA VINCI SNC 64018 TORTORETO,unknown,Conad
unknown,conad_it,VIA DUCA D'AOSTA 45 64011 ALBA ADRIATICA,unknown,Conad
unknown,conad_it,VIA CESARE BATTISTI 254 64011 ALBA ADRIATICA,unknown,unknown
unknown,conad_it,CONTRADA RIOMORO 10 64010 COLONNELLA,unknown,Spazio Conad
unknown,conad_it,VIA ROMA 59 64014 MARTINSICURO,unknown,Conad
Colonnella,gamestop_it,,unknown,COLONNELLA
Teramo,gamestop_it,,unknown,TERAMO
Teramo - Piano D'accio,giunti_al_punto_it,Strada Provinciale 18 Snc c/o Centro Commerciale Gran Sasso-gran Shopp 64100 Teramo - Piano D'accio TE,unknown,Libreria Giunti al Punto Teramo
Silvi Marina,giunti_al_punto_it,S.s. 16 Km 432 c/o Centro Commerciale Universo 64028 Silvi Marina TE,unknown,Libreria Giunti al Punto Silvi Marina
Teramo,giunti_al_punto_it,Corso San Giorgio 119 64100 Teramo TE,unknown,Libreria Giunti al Punto Teramo 2
CASTEL CASTAGNA,moneygram,,unknown,POSTE ITALIANE
