Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
26559_6,bmw_group,ACTIVA SPA,,VILLA LAGARINA,TN,,IT,+39 0464 490091,http://www.activa-villalagarina.mini.it/,,BMW,Q26678
140413,conad_it,,"FRAZIONE S.ANNA 11, 38060 VALLARSA",,TN,,IT,+39 0464 869143,https://www.conad.it/ricerca-negozi/margherita-conad-frazione-sanna-11-38060-vallarsa--010379,"Mo 07:30-12:15,16:00-19:00; Tu 07:30-12:15; We-Sa 07:30-12:15,16:00-19:00",Margherita Conad,
140497,conad_it,,"PIAZZA C. BENEDETTI 3, 38060 BRENTONICO",,TN,,IT,+39 0464 928053,https://www.conad.it/ricerca-negozi/margherita-conad-piazza-c-benedetti-3-38060-brentonico--006610,"Mo 07:30-11:30; Tu 07:30-11:30,15:30-18:30; We 07:30-11:30; Th-Sa 07:30-11:30,15:30-18:30",Margherita Conad,
140558,conad_it,,"FRAZIONE BRANCOLINO SNC, 38060 NOGAREDO",,TN,,IT,+39 0464 411302,https://www.conad.it/ricerca-negozi/margherita-conad-frazione-brancolino-snc-38060-nogaredo--006745,"Mo-Fr 07:00-12:00,16:00-19:00; Sa 07:00-12:00",Margherita Conad,
140475,conad_it,,"VIA TRENTO  56, 38060 BESENELLO",,TN,,IT,+39 0464 834979,https://www.conad.it/ricerca-negozi/margherita-conad-via-trento-56-38060-besenello--008914,"Mo 07:30-12:30,15:30-19:00; Tu 07:30-12:30; We-Sa 07:30-12:30,15:30-19:00",Margherita Conad,
71960124,moneygram,POSTE ITALIANE,,CIMONE,TN,,IT,461855211,,Mo 00:00-24:00; Tu-We 08:20-13:45; Th 00:00-24:00; Fr 08:20-13:45; Sa-Su 00:00-24:00,MoneyGram,Q1944412
00PV002277,q8_italia,Q8,,NOGAREDO,TN,,IT,,,,Q8,Q1634762
00PV002278,q8_italia,Q8,,NOGAREDO,TN,,IT,,,,Q8,Q1634762
00PV002254,q8_italia,Q8,,PANNONE DI MORI,TN,,IT,,,,Q8,Q1634762
00PV002221,q8_italia,Q8,,VILLA LAGARINA,TN,,IT,,,,Q8,Q1634762
00PV002245,q8_italia,Q8,,VALLARSA,TN,,IT,,,,Q8,Q1634762
IT_19934,shell,Volano,,Volano,TN,,IT,,https://find.shell.com/it/fuel/IT_19934-volano,24/7,Shell,Q110716465
IT_19917,shell,Trento,,Trento,TN,,IT,,https://find.shell.com/it/fuel/IT_19917-trento,24/7,Shell,Q110716465
,visa,,,VILLA LAGARINA,TN,,IT,,,,,
,visa,,,BESENELLO,TN,,IT,,,,,
,visa,,,BESENELLO,TN,,IT,,,,,
