Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
141620,conad_it,Conad,"VIA PIETRO NENNI 134, 91020 PETROSINO",,TP,,IT,+39 0923 731042,https://www.conad.it/ricerca-negozi/conad-via-pietro-nenni-134-91020-petrosino--006406,"Mo-Sa 08:00-13:30,16:30-20:00; Su 08:30-13:30",Conad,Q639075
145748,conad_it,Conad Superstore,"SS 115, C.DA TRIGLIA  SCALETTA SNC, 91020 PETROSINO",,TP,,IT,+39 0923 742511,https://www.conad.it/ricerca-negozi/conad-superstore-ss-115-cda-triglia-scaletta-snc-91020-petrosino--009134,Mo-Su 08:30-20:30,Conad Superstore,Q118129616
74551815,moneygram,PETROSINO ALL SERVICES,,PETROSINO,TP,,IT,+39 0923 731211,,Mo-Su 06:00-21:00,MoneyGram,Q1944412
00PV009399,q8_italia,Q8,,TRAPANI,TP,,IT,,,,Q8,Q1634762
,visa,,,PETROSINO,TP,,IT,,,,,
,visa,,,SALAPARUTA,TP,,IT,,,,,
,visa,,,SALAPARUTA,TP,,IT,,,,,
,visa,,,POGGIOREALE,TP,,IT,,,,,
,visa,,,POGGIOREALE,TP,,IT,,,,,
,visa,,,POGGIOREALE,TP,,IT,,,,,
