City,Place Name,Zipcode,Name
Foiano della Chiana,asics_eu,,unknown,ASICS Factory Outlet  Arezzo
Casello FI,asics_eu,,unknown,ASICS Factory Outlet  Florence
Firenze,audi,Via Pratese 135 50145 Firenze,unknown,AUDI FIRENZE
Figline Valdarno,audi,Via della Comunità Europea 7/9 50063 Figline Valdarno,unknown,FORTINI
Lucca,audi,Via delle Fornacette 52 55100 Lucca,unknown,ALDO TERIGI
Livorno,audi,Via dell'Artigianato 97 57121 Livorno,unknown,SCOTTI
Pistoia,audi,Via Galileo Ferraris 47 51100 Pistoia,unknown,QUATTROCAR
Pallerone di Aulla,audi,Viale Guido Rossa 26/A 54011 Pallerone di Aulla,unknown,ZAMMORI AUTO
Empoli,audi,Via Giuntini 44/46/48 50053 Empoli,unknown,CORSINOVI & PERUZZI
Fucecchio,audi,Viale G. Carducci 90 50054 Fucecchio,unknown,MORENO SANI
Scandicci,audi,Via Don L. Perosi 4 50018 Scandicci,unknown,CO.BRA.MA.
Cortona,audi,Via Gramsci 139 52042 Cortona,unknown,EUROAUTO
Sansepolcro,audi,Via Senese Aretina 137 52037 Sansepolcro,unknown,TIZZI AUTOMOBILI 2
Massa,audi,Via degli Unni 157 54100 Massa,unknown,BROTINI
Bibbiena,audi,Via Palazzetto 6 52011 Bibbiena,unknown,CRESCI & CIABATTI
Pisa - Loc. Ospedaletto,audi,Via Malpighi 4 56121 Pisa - Loc. Ospedaletto,unknown,SCOTTI
AREZZO,audi,VIA DI PESCAIOLA 11/A 52100 AREZZO,unknown,AUTOCENTRI GIUSTOZZI
Province of Florence,champion,POR SANTA MARIA 52/54R 50100 ,unknown,FIRENZE
Province of Pisa,champion,CORSO ITALIA 96 56100 ,unknown,PISA
Provincia di Pistoia,champion,VIA DEGLI ORAFI 66 51100 ,unknown,PISTOIA
Province of Florence,champion,C.C. PONTE A GREVE VIUZZO DELLE CASE NUOVE 9 - UNITA' 10 50143 ,unknown,SCANDICCI
Provincia di Siena,champion,VALDICHIANA OUTLET VILLAGE VIA ENZO FERRARI 5 - UNITA' E18B 52045 ,unknown,VALDICHIANA
Provincia di Lucca,champion,VIA CESARE BATTISTI 36 55049 ,unknown,VIAREGGIO
Terranuova Bracciolini,fedex,,unknown,unknown
Tavarnuzze,fedex,,unknown,unknown
Tavarnelle Val Di Pesa,fedex,,unknown,unknown
Sinalunga,fedex,,unknown,unknown
Siena,fedex,,unknown,unknown
Scandicci,fedex,,unknown,unknown
Santa Croce Sullarno,fedex,,unknown,unknown
Sansepolcro,fedex,,unknown,unknown
Rosignano Solvay,fedex,,unknown,unknown
Quarrata,fedex,,unknown,unknown
Prato,fedex,,unknown,FedEx Station
Porcari,fedex,,unknown,unknown
Pontremoli,fedex,,unknown,unknown
Pontedera,fedex,,unknown,unknown
Pontassieve,fedex,,unknown,unknown
Ponsacco,fedex,,unknown,unknown
Poggibonsi,fedex,,unknown,unknown
Pistoia,fedex,,unknown,unknown
Pisa,fedex,,unknown,FedEx Station
Piombino,fedex,,unknown,unknown
Pietrasanta,fedex,,unknown,unknown
Piazza Al Serchio,fedex,,unknown,unknown
Pescia,fedex,,unknown,unknown
Orbetello,fedex,,unknown,unknown
Montevarchi,fedex,,unknown,unknown
Montemurlo,fedex,,unknown,unknown
Monsummano Terme,fedex,,unknown,unknown
Massa,fedex,,unknown,unknown
Marlia,fedex,,unknown,unknown
Marina Di Carrara,fedex,,unknown,unknown
Lucca,fedex,,unknown,unknown
Livorno,fedex,,unknown,unknown
Lastra A Signa,fedex,,unknown,unknown
Grosseto,fedex,,unknown,unknown
Gallicano,fedex,,unknown,unknown
Follonica,fedex,,unknown,unknown
Florence,fedex,,unknown,unknown
Empoli,fedex,,unknown,unknown
Chianciano Terme,fedex,,unknown,unknown
Certaldo,fedex,,unknown,unknown
Cecina,fedex,,unknown,unknown
Castelnuovo Di Garfagnana,fedex,,unknown,unknown
Castelfranco Di Sotto,fedex,,unknown,unknown
Castagneto Carducci,fedex,,unknown,unknown
Cascina,fedex,,unknown,unknown
Carrara,fedex,,unknown,unknown
Capannori,fedex,,unknown,unknown
Camucia,fedex,,unknown,unknown
Camaiore,fedex,,unknown,unknown
Calenzano,fedex,,unknown,unknown
Calcinaia,fedex,,unknown,unknown
Borgo San Lorenzo,fedex,,unknown,unknown
Borgo A Mozzano,fedex,,unknown,unknown
Bientina,fedex,,unknown,unknown
Barga,fedex,,unknown,unknown
Bagni Di Lucca Ponte,fedex,,unknown,unknown
Arezzo,fedex,,unknown,unknown
Abbadia San Salvatore,fedex,,unknown,unknown
Provincia di Lucca,ionity,,unknown,Versilia Ovest
Scarlino (GR),ionity,,unknown,Scarlino
Provincia di Siena,ionity,,unknown,Valdichiana Outlet Village
Marina di Pietrasanta LU,ionity,,unknown,Versilia Est
Province of Florence,pepco,,unknown,Pepco
Provincia di Grosseto,pepco,,unknown,Pepco
Provincia di Livorno,pepco,,unknown,Pepco
Livorno,starbucks_eu,Livorno via Gaetano d alesio 6 57126 Livorno,unknown,Livorno SM Porta a Mare
Firenze,starbucks_eu,Firenze santa maria novella 50123 50123 Firenze,unknown,Firenze Santa Maria Novella Station
Firenze,starbucks_eu,via dei Cerretani 46 R 50123 Firenze FI 50123 Firenze,unknown,Firenze Via dei Cerretani
Campi   Bisenzio,starbucks_eu,Via San Quirico 165 50013 Campi Bisenzio,unknown,Gigli Shopping Center
Province of Arezzo,tier,,unknown,Tier
