Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
FordIJ11232  ITA,ford,RONZULLI DOMENICO,,BARI (BA),,,IT,+39 080 548 4383,,,Ford,Q44294
41105087,moneygram,POSTE ITALIANE,,BARI,,,IT,+39 080 542 6363,,Mo-Fr 08:20-13:35; Sa 08:20-12:35; Su 00:00-24:00,MoneyGram,Q1944412
40893057,moneygram,POSTE ITALIANE,,BARI,,,IT,+39 080 568 5619,,Mo-Fr 08:20-19:05; Sa 08:20-12:35; Su 00:00-24:00,MoneyGram,Q1944412
41104949,moneygram,POSTE ITALIANE,,BARI,,,IT,+39 080 542 3458,,Mo-Fr 08:20-13:35; Sa 08:20-12:35; Su 00:00-24:00,MoneyGram,Q1944412
https://stores.petit-bateau.com/#1007097465,petit_bateau,BELLI E PUPE,,BARI,,,IT,+39 080 403653,https://stores.petit-bateau.com/italy/bari/via-pavoncelli-86,,Petit Bateau,Q3377090
IT002,rsg_group,McFIT Bari San Pasquale,,Bari,,,IT,+39 02 9157 3164,https://www.mcfit.com/it/palestra/bari-san-pasquale/,Mo-Fr 07:00-23:00; Sa-Su 09:00-21:00,McFit,Q871302
IT_EXT_01269,totalenergies,ISOLA PREPAY,,BARI,,,IT,,https://store.totalenergies.fr/en_EN/IT_EXT_01269,,TotalErg,Q3995933
IT_EXT_01287,totalenergies,ISOLA PREPAY,,BARI,,,IT,,https://store.totalenergies.fr/en_EN/IT_EXT_01287,,TotalErg,Q3995933
IT_EXT_01557,totalenergies,ISOLA POSTPAY,,BARI,,,IT,,https://store.totalenergies.fr/en_EN/IT_EXT_01557,,TotalErg,Q3995933
,visa,,,BARI,,,IT,,,,,
,visa,,,BARI,,,IT,,,,,
,visa,,,BARI,,,IT,,,,,
,visa,,,BARI,,,IT,,,,,
,visa,,,BARI,,,IT,,,,,
,visa,,,BARI,,,IT,,,,,
,visa,,,BARI,,,IT,,,,,
,visa,,,BARI,,,IT,,,,,
,visa,,,BARI,,,IT,,,,,
,visa,,,BARI,,,IT,,,,,
,visa,,,BARI,,,IT,,,,,
,visa,,,BARI,,,IT,,,,,
,visa,,,BARI,,,IT,,,,,
,visa,,,BARI,,,IT,,,,,
,visa,,,BARI,,,IT,,,,,
,visa,,,BARI,,,IT,,,,,
,visa,,,BARI,,,IT,,,,,
,visa,,,BARI,,,IT,,,,,
,visa,,,BARI,,,IT,,,,,
,visa,,,BARI,,,IT,,,,,
,visa,,,BARI,,,IT,,,,,
,visa,,,BARI,,,IT,,,,,
,visa,,,BARI,,,IT,,,,,
,visa,,,BARI,,,IT,,,,,
