City,Place Name,Zipcode,Name
鹿児島市,akachan_jp,,unknown,アカチャンホンポ オプシアミスミ店
鹿児島市,kfc_jp,鹿児島県鹿児島市呉服町1-6,unknown,天文館店
鹿児島市,kfc_jp,鹿児島県鹿児島市城西1-9-1,unknown,城西店
鹿児島市,kfc_jp,鹿児島県鹿児島市南栄5-1-11,unknown,七ツ島店
鹿児島市,kfc_jp,鹿児島県鹿児島市東開町7,unknown,イオン鹿児島店
鹿児島市,kfc_jp,鹿児島県鹿児島市下伊敷1丁目42-38,unknown,伊敷店
鹿児島市,kfc_jp,鹿児島県鹿児島市与次郎1-5-29,unknown,与次郎店
鹿児島市,kfc_jp,鹿児島県鹿児島市新栄町6-3,unknown,南鹿児島店
指宿市,kfc_jp,鹿児島県指宿市西方1474 サンキュー北指宿店,unknown,指宿店
鹿児島市,kfc_jp,鹿児島県鹿児島市浜町２-３-１,unknown,ベイサイド鹿児島店
姶良市,kfc_jp,鹿児島県姶良市西餅田264-1,unknown,イオンタウン姶良店
鹿児島市,kfc_jp,鹿児島県鹿児島市川上町2721-66,unknown,鹿児島吉野店
霧島市,kfc_jp,鹿児島県霧島市国分野口西5-22,unknown,国分店
出水市,kfc_jp,鹿児島県出水市六月田町333,unknown,出水店
薩摩川内市,kfc_jp,鹿児島県薩摩川内市永利町712 　タイヨー永利内,unknown,川内店
日置市,kfc_jp,鹿児島県日置市伊集院町徳重3-11-1,unknown,グラード伊集院店
鹿児島市,kfc_jp,鹿児島県鹿児島市中央町1-1 アミュプラザ鹿児島プレミアム館１階,unknown,JR鹿児島中央店
鹿屋市,kfc_jp,鹿児島県鹿屋市札元2-3826-8,unknown,鹿屋店
