Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
73892261,moneygram,OJSC CAPITAL BANK - BRANCH CAPITAL BANK,,BISHKEK,,,KG,312996312905474,,Mo-Fr 08:30-22:00; Sa 08:30-17:00; Su 08:30-22:00,MoneyGram,Q1944412
73892164,moneygram,OJSC CAPITAL BANK - SAVINGS BANK  030-0-,,BISHKEK,,,KG,312996312905474,,Mo-Su 08:30-17:00,MoneyGram,Q1944412
73892177,moneygram,OJSC CAPITAL BANK - SAVINGS BANK  030-0-,,BISHKEK,,,KG,312996312905474,,Mo-Su 08:30-17:00,MoneyGram,Q1944412
73892180,moneygram,OJSC CAPITAL BANK - SAVINGS BANK  030-0-,,BISHKEK,,,KG,312996312905474,,Mo-Su 08:30-17:00,MoneyGram,Q1944412
73892193,moneygram,OJSC CAPITAL BANK - SAVINGS BANK  030-0-,,BISHKEK,,,KG,312996312905474,,Mo-Fr 08:30-22:00; Sa 08:30-17:00; Su 08:30-22:00,MoneyGram,Q1944412
73892203,moneygram,OJSC CAPITAL BANK - SAVINGS BANK  030-00,,BISHKEK,,,KG,312996312905474,,Mo-Fr 08:30-19:00; Sa 08:30-17:00; Su 08:30-19:00,MoneyGram,Q1944412
73892216,moneygram,OJSC CAPITAL BANK - SAVINGS BANK  030-00,,BISHKEK,,,KG,312996312905474,,Mo-Fr 08:30-19:00; Sa 08:30-17:00; Su 08:30-19:00,MoneyGram,Q1944412
73892229,moneygram,OJSC CAPITAL BANK - SAVINGS BANK  030-00,,BISHKEK,,,KG,312996312905474,,Mo-Fr 08:30-19:00; Sa 08:30-17:00; Su 08:30-19:00,MoneyGram,Q1944412
73892258,moneygram,OJSC CAPITAL BANK - SAVINGS BANK  030-00,,BISHKEK,,,KG,312996312905474,,Mo-Fr 00:00-24:00; Sa 08:30-17:00; Su 00:00-24:00,MoneyGram,Q1944412
73891806,moneygram,OJSC CAPITAL BANK - HEAD OFFICE,,BISHKEK,,,KG,312996312905474,,Mo-Fr 08:30-18:00; Sa 08:30-17:00; Su 00:00-24:00,MoneyGram,Q1944412
67898909,moneygram,OPTIMA BANK - REMOTE POINT OF SALES #1,,BISHKEK,,,KG,+996 312 611 229,,Mo-Fr 08:00-16:00; Sa 09:00-18:00; Su 00:00-24:00,MoneyGram,Q1944412
