City,Place Name,Zipcode,Name
Sngkat Sambuor,western_union,,unknown,SOR PATTAYA
Kok Chak,western_union,,unknown,Bengki
Trapeang Krasang,western_union,,unknown,YI SOKCHEA
Bos Mon,western_union,,unknown,HY KIMLAY
S Ang Phnum,western_union,,unknown,CHY VANNA
Meun Chey,western_union,,unknown,NEANG HUN
Khnor Dambang,western_union,,unknown,A TITH
San Kor,western_union,,unknown,SUM TOLA
Spueu,western_union,,unknown,NGIM SOKOUN
Samraong,western_union,,unknown,UDDOM SOYA
Kampong Seila,western_union,,unknown,CHUONG SOTHEA
Sala Krau,western_union,,unknown,DIN CHANTHA
