City,Place Name,Zipcode,Name
의왕,crocs_eu,,unknown,Crocs 롯데의왕 아울렛
남양주,crocs_eu,,unknown,Crocs 현대남양주 아울렛
광주,crocs_eu,,unknown,Crocs 팩토리 아울렛
광명,crocs_eu,,unknown,Crocs 롯데광명 아울렛
수원,crocs_eu,,unknown,Crocs 롯데광교 아울렛
구리,crocs_eu,,unknown,Crocs 롯데구리 아울렛
이천,crocs_eu,,unknown,Crocs 롯데아울렛 이천점 (키즈)
파주,crocs_eu,,unknown,Crocs 롯데파주 아울렛
성남,crocs_eu,,unknown,Crocs 2001 아울렛 분당점
고양,crocs_eu,,unknown,Crocs 롯데아울렛 고양점
용인,crocs_eu,,unknown,Crocs 롯데아울렛 용인점(스포츠)
김포,crocs_eu,,unknown,Crocs 현대아울렛 김포점
시흥,crocs_eu,,unknown,Crocs 첼시아울렛 시흥점
여주,crocs_eu,,unknown,Crocs 첼시아울렛 여주점
의왕시,nike,,unknown,나이키 롯데 의왕
용인시,nike,,unknown,나이키 영통
시흥시,nike,,unknown,나이키 유나이트 시흥
평택시,nike,,unknown,나이키 평택 중앙
여주시,nike,,unknown,나이키 팩토리 스토어 여주
파주시,nike,,unknown,나이키 금촌
남양주시,nike,,unknown,나이키 유나이트 남양주
안산시,nike,,unknown,나이키 롯데 안산
고양시,nike,,unknown,나이키 롯데 고양
안양시,nike,,unknown,나이키 엔터식스 안양
수원시,nike,,unknown,나이키 수원 천천
성남시,nike,,unknown,나이키 AK 서현
안성시,nike,,unknown,나이키 안성
하남시,nike,,unknown,나이키 스타필드 하남
광명시,nike,,unknown,나이키 롯데 광명
구리시,nike,,unknown,나이키 롯데 구리
부천시,nike,,unknown,나이키 스타필드 부천
부천,reebok,,unknown,부천 뉴코아
성남,reebok,,unknown,롯데분당
포천,reebok,,unknown,포천송우
안양,reebok,,unknown,롯데안양
파주,reebok,,unknown,파주
남양주,reebok,,unknown,마석
고양,reebok,,unknown,그랜드 일산
평택,reebok,,unknown,AK평택
수원,reebok,,unknown,동수원 뉴코아
의정부,reebok,,unknown,장암
안산,reebok,,unknown,안산 2001 outlet
구리,reebok,,unknown,롯데구리
광명,reebok,,unknown,광명 뉴코아
과천,reebok,,unknown,과천 뉴코아
