City,Place Name,Zipcode,Name
Salmiya,western_union,,unknown,AL MUZAINI EXCHANGE CO
Rumaithiya,western_union,,unknown,AL MUZAINI EXCHANGE CO
Salwa,western_union,,unknown,ALMUZAINI EXCHANGE CO KIOSK
Hawally,western_union,,unknown,AL MULLA EXCHANGE CO
Shaab,western_union,,unknown,AL MUZAINI EXCHANGE CO
Mishref,western_union,,unknown,AL MULLA EXCHANGE CO
Jabriya,western_union,,unknown,ALMUZAINI EXCHANGE CO KIOSK
Bayan,western_union,,unknown,AL MUZAINI EXCHANGE CO
Sharq,western_union,,unknown,ALMUZAINI EXCHANGE CO KIOSK
Hateen,western_union,,unknown,AL MUZAINI EXCHANGE CO
Al Surra,western_union,,unknown,AL MUZAINI EXCHANGE CO
Al Siddiq,western_union,,unknown,AL MULLA EXCHANGE CO
