Ref,Spider,Name,Address,City,State,Zipcode,Country,Phone,Website,Hours,Brand,WikiData
66147376,moneygram,BAHRAIN EXCHANGE COMPANY - ABBASIYA - AB,,ABBASIYA,,,KW,+965 2247 2086,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
66147619,moneygram,BAHRAIN EXCHANGE COMPANY - HASSWI - HASA,,HASSWI,,,KW,+965 2431 2535,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
66147839,moneygram,BAHRAIN EXCHANGE COMPANY - HAWALLI - HAW,,HAWALLI,,,KW,+965 2266 2129,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
66147868,moneygram,BAHRAIN EXCHANGE COMPANY - HAWALLI - IBK,,HAWALLI,,,KW,+965 2263 0992,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
66147897,moneygram,BAHRAIN EXCHANGE COMPANY - SAFAT - HAJER,,SAFAT,,,KW,+965 1824 000,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
66147936,moneygram,BAHRAIN EXCHANGE COMPANY - KHAITAN - OLD,,KHAITAN,,,KW,+965 2475 4591,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
66147952,moneygram,BAHRAIN EXCHANGE COMPANY - MURGAB - MUTH,,MURGAB,,,KW,+965 2249 2350,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
66147981,moneygram,BAHRAIN EXCHANGE COMPANY - MALLIYA - MAH,,MALLIYA,,,KW,+965 2371 3011,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
66148016,moneygram,BAHRAIN EXCHANGE COMPANY - MANAMA - MANG,,MANAMA,,,KW,+965 2371 3233,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
66148029,moneygram,BAHRAIN EXCHANGE COMPANY - MURGAB - MUBA,,MURGAB,,,KW,+965 2240 3103,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
66148045,moneygram,BAHRAIN EXCHANGE COMPANY - MURGAB - Mirq,,MURGAB,,,KW,+965 2245 5307,,Mo-Su 08:30-23:00,MoneyGram,Q1944412
66148058,moneygram,BAHRAIN EXCHANGE COMPANY - ABBASIYA - AB,,ABBASIYA,,,KW,2433278,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
66148087,moneygram,BAHRAIN EXCHANGE COMPANY - SAFAT - RIGGA,,SAFAT,,,KW,+965 2489 4505,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
66148090,moneygram,BAHRAIN EXCHANGE COMPANY - SALMIYA - SAL,,SALMIYA,,,KW,+965 2563 0661,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
66148100,moneygram,BAHRAIN EXCHANGE COMPANY - JAHRA - JAHRA,,JAHRA,,,KW,+965 2456 8764,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
66148126,moneygram,BAHRAIN EXCHANGE COMPANY - AL-JAHRA - AM,,AL-JAHRA,,,KW,+965 2458 2562,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
66148139,moneygram,BAHRAIN EXCHANGE COMPANY - FAHAHEEL - FA,,FAHAHEEL,,,KW,+965 2391 5408,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
66148171,moneygram,BAHRAIN EXCHANGE COMPANY - FAHAHEEL - FA,,FAHAHEEL,,,KW,+965 2391 0271,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
66148197,moneygram,BAHRAIN EXCHANGE COMPANY - FARWANIYA - F,,FARWANIYA,,,KW,+965 2474 0664,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
66148207,moneygram,BAHRAIN EXCHANGE COMPANY - FARWANIYA - M,,FARWANIYA,,,KW,+965 2472 1471,,Mo-Su 08:00-22:00,MoneyGram,Q1944412
